source_protocol,method,hyperparams,n_selected,selected
stage1_reference_full,Base FULL MetaSpace,"{""n_features"": 58}",58,syn_len_a | syn_len_b | syn_contains_b_in_a | syn_levenshtein | syn_levenshtein_sim | syn_damerau_osa | syn_damerau_osa_sim | syn_lcs_len | syn_lcs_ratio | syn_common_prefix_ratio | syn_common_suffix_ratio | syn_jaccard_tokens | syn_dice_tokens | syn_jaccard_bigrams | syn_jaccard_trigrams | syn_cosine_bigrams | syn_cosine_trigrams | syn_jaro | syn_jaro_winkler | cls_euclidean | cls_cosine_dist | cls_cosine_sim | cls_pearson | cls_spearman | cls_minkowski | cls_canberra | cls_chebyshev | tda_h0_count_src | tda_h1_count_src | tda_h2_count_src | tda_h0_max_life_src | tda_h1_max_life_src | tda_h2_max_life_src | tda_h0_entropy_src | tda_h1_entropy_src | tda_h2_entropy_src | tda_h0_count_tgt | tda_h1_count_tgt | tda_h2_count_tgt | tda_h0_max_life_tgt | tda_h1_max_life_tgt | tda_h2_max_life_tgt | tda_h0_entropy_tgt | tda_h1_entropy_tgt | tda_h2_entropy_tgt | tda_h0_count_combined | tda_h1_count_combined | tda_h2_count_combined | tda_h0_max_life_combined | tda_h1_max_life_combined | tda_h2_max_life_combined | tda_h0_entropy_combined | tda_h1_entropy_combined | tda_h2_entropy_combined | tda_h0_bottleneck | tda_h0_wasserstein | tda_h1_bottleneck | tda_h1_wasserstein
stage1_first_benchmark,greedy_spearman,"{""threshold"": 0.5}",14,syn_jaro_winkler | cls_chebyshev | tda_h0_wasserstein | tda_h0_entropy_combined | tda_h1_max_life_combined | tda_h0_max_life_tgt | syn_common_suffix_ratio | tda_h1_max_life_tgt | tda_h0_max_life_src | tda_h2_max_life_combined | tda_h2_entropy_combined | tda_h2_max_life_tgt | syn_contains_b_in_a | tda_h2_entropy_tgt
stage1_first_benchmark,greedy_pearson,"{""threshold"": 0.5}",18,syn_jaro_winkler | tda_h0_wasserstein | tda_h0_entropy_combined | tda_h1_max_life_combined | tda_h0_max_life_tgt | syn_common_prefix_ratio | syn_common_suffix_ratio | tda_h1_wasserstein | syn_lcs_len | tda_h1_entropy_tgt | tda_h0_max_life_src | tda_h2_max_life_combined | syn_len_a | tda_h1_entropy_src | tda_h2_entropy_combined | tda_h2_max_life_tgt | syn_contains_b_in_a | tda_h2_entropy_tgt
stage1_first_benchmark,greedy_kendall,"{""threshold"": 0.5}",22,syn_jaro_winkler | syn_cosine_trigrams | cls_euclidean | tda_h0_wasserstein | tda_h0_entropy_combined | tda_h0_bottleneck | tda_h1_max_life_combined | tda_h1_entropy_combined | syn_jaccard_tokens | tda_h0_max_life_tgt | tda_h0_max_life_combined | syn_common_prefix_ratio | syn_common_suffix_ratio | tda_h1_wasserstein | tda_h1_entropy_tgt | syn_len_b | tda_h2_max_life_combined | syn_len_a | tda_h2_entropy_combined | tda_h2_max_life_tgt | syn_contains_b_in_a | tda_h2_entropy_tgt
stage1_first_benchmark,cluster_spearman,"{""threshold"": 0.5}",16,syn_jaro_winkler | tda_h0_wasserstein | tda_h0_entropy_combined | tda_h1_max_life_combined | syn_jaccard_tokens | tda_h0_entropy_tgt | tda_h0_max_life_tgt | tda_h0_max_life_combined | syn_common_prefix_ratio | syn_damerau_osa | syn_common_suffix_ratio | tda_h2_max_life_combined | tda_h2_entropy_combined | tda_h2_max_life_tgt | syn_contains_b_in_a | tda_h2_entropy_tgt
stage1_first_benchmark,graph_independent_spearman,"{""threshold"": 0.5}",18,syn_cosine_bigrams | cls_canberra | tda_h0_bottleneck | tda_h1_max_life_combined | tda_h1_entropy_combined | syn_jaccard_tokens | tda_h0_entropy_tgt | tda_h0_max_life_tgt | syn_common_prefix_ratio | syn_damerau_osa | syn_common_suffix_ratio | tda_h0_max_life_src | tda_h2_max_life_combined | tda_h1_max_life_src | tda_h2_entropy_combined | tda_h2_max_life_tgt | syn_contains_b_in_a | tda_h2_entropy_tgt
stage1_first_benchmark,greedy_spearman,"{""threshold"": 0.6}",21,syn_jaro_winkler | cls_canberra | tda_h0_wasserstein | tda_h0_entropy_combined | tda_h1_max_life_combined | tda_h1_entropy_combined | syn_jaccard_tokens | tda_h0_max_life_tgt | tda_h0_max_life_combined | syn_common_prefix_ratio | syn_common_suffix_ratio | tda_h1_max_life_tgt | tda_h1_entropy_tgt | tda_h0_max_life_src | tda_h2_max_life_combined | tda_h1_max_life_src | tda_h2_entropy_combined | tda_h2_max_life_tgt | syn_contains_b_in_a | tda_h2_entropy_tgt | tda_h2_entropy_src
stage1_first_benchmark,greedy_pearson,"{""threshold"": 0.6}",23,syn_jaro_winkler | cls_chebyshev | tda_h0_wasserstein | tda_h0_entropy_combined | tda_h1_max_life_combined | tda_h1_entropy_combined | syn_jaccard_tokens | tda_h0_max_life_tgt | tda_h0_max_life_combined | syn_common_prefix_ratio | syn_damerau_osa | tda_h1_wasserstein | syn_lcs_len | tda_h1_entropy_tgt | tda_h0_max_life_src | tda_h2_max_life_combined | tda_h1_max_life_src | tda_h1_entropy_src | tda_h2_entropy_combined | tda_h2_max_life_tgt | syn_contains_b_in_a | tda_h2_max_life_src | tda_h2_entropy_tgt
stage1_first_benchmark,greedy_kendall,"{""threshold"": 0.6}",31,syn_jaro_winkler | syn_cosine_bigrams | cls_euclidean | cls_chebyshev | syn_lcs_ratio | tda_h0_wasserstein | tda_h0_entropy_combined | tda_h0_bottleneck | tda_h1_max_life_combined | tda_h1_entropy_combined | syn_jaccard_tokens | tda_h0_entropy_tgt | tda_h0_max_life_tgt | tda_h0_max_life_combined | syn_common_prefix_ratio | syn_damerau_osa | syn_common_suffix_ratio | tda_h1_wasserstein | tda_h1_max_life_tgt | syn_lcs_len | tda_h1_entropy_tgt | tda_h0_max_life_src | tda_h0_entropy_src | tda_h2_max_life_combined | tda_h1_max_life_src | tda_h1_entropy_src | tda_h2_entropy_combined | tda_h2_max_life_tgt | syn_contains_b_in_a | tda_h2_entropy_tgt | tda_h2_entropy_src
stage1_first_benchmark,cluster_spearman,"{""threshold"": 0.6}",21,syn_jaro_winkler | cls_euclidean | tda_h0_wasserstein | tda_h0_entropy_combined | tda_h1_max_life_combined | tda_h1_entropy_combined | syn_jaccard_tokens | tda_h0_entropy_tgt | tda_h0_max_life_tgt | tda_h0_max_life_combined | syn_common_prefix_ratio | syn_damerau_osa | syn_common_suffix_ratio | tda_h0_max_life_src | tda_h0_entropy_src | tda_h2_max_life_combined | tda_h2_entropy_combined | tda_h2_max_life_tgt | syn_contains_b_in_a | tda_h2_entropy_tgt | tda_h2_entropy_src
