method,expected_preliminary_time_sec,csv_preliminary_time_sec,expected_application_time_sec,csv_application_time_sec,expected_total_time_sec,csv_total_time_sec
MagnetoFTGPT,306456.07,306456.07,45807.13,45807.13,352263.2,352263.2
MagnetoFT,306456.07,306456.07,9413.56,9413.56,315869.63,315869.63
MagnetoGPT,0.0,0.0,139243.13,139243.13,139243.13,139243.13
Full MetaSpace,66565.13,66565.13,3.76,3.76,66568.89,66568.89
SMUTF,59214.97,59214.97,15.6,15.6,59230.57,59230.57
Distribution Based,0.0,0.0,36318.01,36318.01,36318.01,36318.01
Magneto,0.0,0.0,10488.01,10488.01,10488.01,10488.01
Reduced MetaSpace,5619.63,5619.63,0.63,0.63,5620.26,5620.26
Similarity Flooding,0.0,0.0,2875.94,2875.94,2875.94,2875.94
COMA,0.0,0.0,385.02,385.02,385.02,385.02
COMA++,0.0,0.0,382.48,382.48,382.48,382.48
ISResMat,0.0,0.0,347.45,347.45,347.45,347.45
LLMATCH,0.0,0.0,343.76,343.76,343.76,343.76
Cupid,0.0,0.0,128.55,128.55,128.55,128.55
