method,mean_f1_all_to_all,std_f1_all_to_all,mean_precision_all_to_all,std_precision_all_to_all,mean_recall_all_to_all,std_recall_all_to_all,n_pair_id
LLMATCH,0.8532415997258463,0.24564125821335017,0.8371524800234181,0.2828138347854383,0.9332942440263122,0.1754304755162502,551
MetaSpace,0.8062719427463882,0.23598772838107587,0.8026686329032842,0.26195458722822146,0.8423811225970989,0.2437661969309689,551
MagnetoFTGPT,0.7425516127848804,0.24799182171534923,0.7596271862975753,0.30139509003631204,0.845022667539215,0.18987778398824243,551
MagnetoGPT,0.7243727497158815,0.2930053473362193,0.6963952829771493,0.32924724224123525,0.9030639528753978,0.15406532757818509,551
SMUTF,0.701520499966017,0.28366454717864176,0.7227587408476369,0.32190110206533684,0.7541730321964586,0.2807948578752581,551
MagnetoFT,0.6114660570915491,0.26663863341093613,0.5596784281458432,0.28596853456779187,0.8042971150426556,0.22570051040642464,551
Magneto,0.580056787068537,0.2880013785032918,0.5084830794236717,0.30087949937035946,0.84087209305363,0.19983463017509684,551
COMA++,0.5415066070675976,0.2753976907061966,0.7279575586744371,0.37300101196704555,0.5162188480264311,0.30343879009611563,551
COMA,0.508100716513574,0.2654788789739118,0.7167373513618449,0.34793195752381734,0.4848740832363494,0.30951976491043864,551
Similarity Flooding,0.4956391528312697,0.35231867299911235,0.4682549726080708,0.3494029172048347,0.6813135565625574,0.38876826050012653,551
ISResMat,0.35594607286120555,0.2917845482534087,0.30845756317269923,0.2888395360546194,0.7987314774119514,0.2515238740906187,551
Cupid,0.3156146526549424,0.36586420233671757,0.42885304894748943,0.3992244426346718,0.34917249690059876,0.42067726378786996,551
Distribution Based,0.2428980819668396,0.2521270702871277,0.30418017713912543,0.3030215060669926,0.24321453191220319,0.2891084164714164,551
