method,mean_f1,std_f1,mean_precision,mean_recall,n_pair_id,missing_to_551,mean_online_runtime_sec_per_pair,std_online_runtime_sec_per_pair,runtime_source,offline_training_type,offline_training_sec_estimated,offline_training_hours_estimated,offline_note,plot_family,plot_symbol
LLMATCH,0.9123644425513175,0.2030739681255833,0.906605921430258,0.9451918867938112,549,2,19.130408914749232,12.071396377418278,pair-level/estimated existing summary,LLM/precomputed outputs; training not logged,,,No model training duration found; costs may include external LLM/precomputed stage depending on original run.,LLM baseline,square
MetaSpace,0.8062719427463882,0.2359877283810758,0.8026686329032842,0.8423811225970989,551,0,127.3194228736838,104.67551696444784,pair-level/estimated existing summary,Trained in evaluation protocol,0.0,0.0,RF training cost is already amortized in MetaSpace runtime estimate; feature construction included.,MetaSpace,diamond
SMUTF,0.7783501767373429,0.2373989528727244,0.7927801713314951,0.830310972244263,540,11,56.85305144954261,13.179817702360003,fold runtime amortized; no pair-level timing logged,Pretrained/preliminary training not logged,,,Local logs show sentence-transformer loading and prediction runtime; no separate SMUTF training/pretraining duration found.,Embedding baseline,square
MagnetoFTGPT,0.6801011086406162,0.2968295866432608,0.6317977437936848,0.8744531909923466,547,4,42.488010281754526,67.78403960755223,pair-level/estimated existing summary,Estimated offline fine-tuning,306456.06780404254,85.12668550112292,Magneto FT checkpoints are category-specific; estimate uses 5 categories x measured CPU extrapolation per MPNet checkpoint.,Magneto,triangle-up
MagnetoFT,0.6753562552251223,0.2800701873164566,0.6276207713872032,0.8594654826573102,550,1,13.066296514086549,4.796452106465597,pair-level/estimated existing summary,Estimated offline fine-tuning,306456.06780404254,85.12668550112292,Magneto FT checkpoints are category-specific; estimate uses 5 categories x measured CPU extrapolation per MPNet checkpoint.,Magneto,triangle-up
MagnetoGPT,0.6692561805752146,0.2947947155275691,0.6164748880501443,0.8733241654430702,547,4,46.675836451886376,69.87044719292616,pair-level/estimated existing summary,Pretrained model / no FT in run,0.0,0.0,Uses default pretrained MPNet; no FT training in local logs.,Magneto,triangle-up
Magneto,0.6053966788059676,0.28316464346751,0.5311473019161383,0.8677172538149287,550,1,13.900714240423063,4.734788972316154,pair-level/estimated existing summary,Pretrained model / no FT in run,0.0,0.0,Uses default pretrained MPNet; no FT training in local logs.,Magneto,triangle-up
ISResMat,0.5472358098216976,0.2624504138546554,0.508739830852943,0.7191357720783058,543,8,123.02777994564264,80.60122955228184,pair-level/estimated existing summary,No offline training logged,0.0,0.0,No separate preliminary training found in current local logs.,Classical baseline,circle
COMA++,0.5433020214311297,0.2720999386473819,0.7316229861809973,0.5181459519875325,543,8,130.5410972087646,114.02369828896973,pair-level/estimated existing summary,No offline training logged,0.0,0.0,No separate preliminary training found in current local logs.,Classical baseline,circle
COMA Instance,0.5402865123193006,0.2688199929954017,0.7235230194796923,0.6449242321764613,551,0,131.25049022908482,114.14235606178312,pair-level/estimated existing summary,No offline training logged,0.0,0.0,No separate preliminary training found in current local logs.,Classical baseline,circle
COMA,0.504956648554981,0.2671490633940474,0.7127910393449483,0.4824358588886981,549,2,1.9627831640563305,0.6576638565550283,pair-level/estimated existing summary,No offline training logged,0.0,0.0,No separate preliminary training found in current local logs.,Classical baseline,circle
Similarity Flooding,0.493463779090653,0.3504724501152881,0.4647784578620773,0.7744860492635753,551,0,3.4170918049382384,3.999059768115863,pair-level/estimated existing summary,No offline training logged,0.0,0.0,No separate preliminary training found in current local logs.,Classical baseline,circle
Distribution Based,0.3569231372492554,0.2687560847340691,0.360815474120044,0.669424678396824,551,0,31.660038714028573,34.62152732600636,pair-level/estimated existing summary,No offline training logged,0.0,0.0,No separate preliminary training found in current local logs.,Classical baseline,circle
Cupid,0.32930108668837,0.3511361245887964,0.4200236632603054,0.7344328114379544,551,0,70.31050620405446,60.51397451826556,pair-level/estimated existing summary,No offline training logged,0.0,0.0,No separate preliminary training found in current local logs.,Classical baseline,circle
