method,pair_id,runtime_sec_pair,runtime_note
MetaSpace,Magellan__amazon_google_exp,43.62092410291567,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,Magellan__dblp_acm,64.9549655725891,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,Magellan__dblp_scholar,64.56157714082605,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,Magellan__beeradvo_ratebeer,72.2780887626298,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,Magellan__walmart_amazon,92.00227756044276,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,Magellan__fodors_zagats,14.066178902054489,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,Magellan__itunes_amazon,19.83144678466649,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,TPC-DI__View-Unionable__prospect_both_0_1_ac2_ev,28.616826858753,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,TPC-DI__View-Unionable__prospect_both_0_1_ac4_ev,28.004725121277097,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,TPC-DI__Semantically-Joinable__prospect_vertical_1_ac1_av,28.66077041980421,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,TPC-DI__Semantically-Joinable__prospect_vertical_1_ac3_av,28.26221033031124,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,TPC-DI__Semantically-Joinable__prospect_vertical_1_ac2_av,27.78607489463854,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,TPC-DI__Semantically-Joinable__prospect_vertical_1_ac4_av,27.78607489463854,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
