method,method_raw,pair_id,pair_id_raw,f1_all_to_all,precision_all_to_all,recall_all_to_all,runtime,scenario,pair_id_canonical
MetaMatch,MetaMatch RF,ChEMBL__Joinable__assays_both_50_1_ac1_ev,ChEMBL__Joinable__assays_both_50_1_ac1_ev,1.0,1.0,1.0,,threshold_opt_pairf1_train_fast_grid001_strict_gt,assays_both_50_1_ac1_ev
MetaMatch,MetaMatch RF,ChEMBL__Joinable__assays_both_50_1_ac2_ev,ChEMBL__Joinable__assays_both_50_1_ac2_ev,0.0,0.0,0.0,,threshold_opt_pairf1_train_fast_grid001_strict_gt,assays_both_50_1_ac2_ev
MetaMatch,MetaMatch RF,ChEMBL__Joinable__assays_both_50_1_ac3_ev,ChEMBL__Joinable__assays_both_50_1_ac3_ev,0.0,0.0,0.0,,threshold_opt_pairf1_train_fast_grid001_strict_gt,assays_both_50_1_ac3_ev
MetaMatch,MetaMatch RF,ChEMBL__Joinable__assays_both_50_1_ac4_ev,ChEMBL__Joinable__assays_both_50_1_ac4_ev,0.0,0.0,0.0,,threshold_opt_pairf1_train_fast_grid001_strict_gt,assays_both_50_1_ac4_ev
MetaMatch,MetaMatch RF,ChEMBL__Joinable__assays_both_50_1_ac5_ev,ChEMBL__Joinable__assays_both_50_1_ac5_ev,0.0,0.0,0.0,,threshold_opt_pairf1_train_fast_grid001_strict_gt,assays_both_50_1_ac5_ev
MetaMatch,MetaMatch RF,ChEMBL__Joinable__assays_both_50_1_ec_ev,ChEMBL__Joinable__assays_both_50_1_ec_ev,1.0,1.0,1.0,,threshold_opt_pairf1_train_fast_grid001_strict_gt,assays_both_50_1_ec_ev
MetaMatch,MetaMatch RF,ChEMBL__Joinable__assays_both_50_30_ac1_ev,ChEMBL__Joinable__assays_both_50_30_ac1_ev,1.0,1.0,1.0,,threshold_opt_pairf1_train_fast_grid001_strict_gt,assays_both_50_30_ac1_ev
MetaMatch,MetaMatch RF,ChEMBL__Joinable__assays_both_50_30_ac2_ev,ChEMBL__Joinable__assays_both_50_30_ac2_ev,0.6666666666666666,1.0,0.5,,threshold_opt_pairf1_train_fast_grid001_strict_gt,assays_both_50_30_ac2_ev
MetaMatch,MetaMatch RF,ChEMBL__Joinable__assays_both_50_30_ac3_ev,ChEMBL__Joinable__assays_both_50_30_ac3_ev,0.9090909090909092,1.0,0.8333333333333334,,threshold_opt_pairf1_train_fast_grid001_strict_gt,assays_both_50_30_ac3_ev
MetaMatch,MetaMatch RF,ChEMBL__Joinable__assays_both_50_30_ac4_ev,ChEMBL__Joinable__assays_both_50_30_ac4_ev,0.7272727272727273,0.8,0.6666666666666666,,threshold_opt_pairf1_train_fast_grid001_strict_gt,assays_both_50_30_ac4_ev
