row_method,column_method,win_percent_excluding_ties,wins,losses,ties,common_pair_id
MetaSpace,LLMATCH,,0,0,0,0
MetaSpace,SMUTF,,0,0,0,0
MetaSpace,MagnetoFTGPT,,0,0,0,0
MetaSpace,MagnetoFT,,0,0,0,0
MetaSpace,MagnetoGPT,,0,0,0,0
MetaSpace,Magneto,,0,0,0,0
MetaSpace,ISResMat,100.0,1,0,0,1
MetaSpace,COMA++,100.0,1,0,0,1
MetaSpace,COMA,100.0,1,0,0,1
MetaSpace,Similarity Flooding,100.0,1,0,0,1
MetaSpace,Distribution Based,100.0,1,0,0,1
MetaSpace,Cupid,100.0,1,0,0,1
LLMATCH,MetaSpace,,0,0,0,0
LLMATCH,SMUTF,86.97,427,64,60,551
LLMATCH,MagnetoFTGPT,,0,0,0,0
LLMATCH,MagnetoFT,,0,0,0,0
LLMATCH,MagnetoGPT,,0,0,0,0
LLMATCH,Magneto,,0,0,0,0
LLMATCH,ISResMat,98.3,173,3,0,176
LLMATCH,COMA++,100.0,41,0,0,41
LLMATCH,COMA,100.0,6,0,0,6
LLMATCH,Similarity Flooding,100.0,7,0,0,7
LLMATCH,Distribution Based,100.0,6,0,0,6
LLMATCH,Cupid,,0,0,0,0
SMUTF,MetaSpace,,0,0,0,0
SMUTF,LLMATCH,13.03,64,427,60,551
SMUTF,MagnetoFTGPT,,0,0,0,0
SMUTF,MagnetoFT,,0,0,0,0
SMUTF,MagnetoGPT,,0,0,0,0
SMUTF,Magneto,,0,0,0,0
SMUTF,ISResMat,93.18,164,12,0,176
SMUTF,COMA++,100.0,29,0,12,41
SMUTF,COMA,100.0,6,0,0,6
SMUTF,Similarity Flooding,100.0,7,0,0,7
SMUTF,Distribution Based,100.0,6,0,0,6
SMUTF,Cupid,,0,0,0,0
MagnetoFTGPT,MetaSpace,,0,0,0,0
MagnetoFTGPT,LLMATCH,,0,0,0,0
MagnetoFTGPT,SMUTF,,0,0,0,0
MagnetoFTGPT,MagnetoFT,96.06,463,19,69,551
MagnetoFTGPT,MagnetoGPT,54.83,261,215,75,551
MagnetoFTGPT,Magneto,85.02,437,77,37,551
MagnetoFTGPT,ISResMat,91.3,336,32,6,374
MagnetoFTGPT,COMA++,81.78,395,88,26,509
MagnetoFTGPT,COMA,87.0,455,68,21,544
MagnetoFTGPT,Similarity Flooding,83.17,425,86,32,543
MagnetoFTGPT,Distribution Based,95.9,515,22,7,544
MagnetoFTGPT,Cupid,94.84,496,27,26,549
MagnetoFT,MetaSpace,,0,0,0,0
MagnetoFT,LLMATCH,,0,0,0,0
MagnetoFT,SMUTF,,0,0,0,0
MagnetoFT,MagnetoFTGPT,3.94,19,463,69,551
MagnetoFT,MagnetoGPT,18.99,94,401,56,551
MagnetoFT,Magneto,65.14,312,167,72,551
MagnetoFT,ISResMat,72.07,258,100,16,374
MagnetoFT,COMA++,57.92,289,210,10,509
MagnetoFT,COMA,68.48,365,168,11,544
MagnetoFT,Similarity Flooding,67.94,337,159,47,543
MagnetoFT,Distribution Based,90.17,477,52,15,544
MagnetoFT,Cupid,84.45,429,79,41,549
MagnetoGPT,MetaSpace,,0,0,0,0
MagnetoGPT,LLMATCH,,0,0,0,0
MagnetoGPT,SMUTF,,0,0,0,0
MagnetoGPT,MagnetoFTGPT,45.17,215,261,75,551
MagnetoGPT,MagnetoFT,81.01,401,94,56,551
MagnetoGPT,Magneto,91.53,443,41,67,551
MagnetoGPT,ISResMat,87.67,320,45,9,374
MagnetoGPT,COMA++,72.43,360,137,12,509
MagnetoGPT,COMA,79.55,424,109,11,544
MagnetoGPT,Similarity Flooding,78.23,388,108,47,543
MagnetoGPT,Distribution Based,92.9,497,38,9,544
MagnetoGPT,Cupid,89.06,456,56,37,549
Magneto,MetaSpace,,0,0,0,0
Magneto,LLMATCH,,0,0,0,0
Magneto,SMUTF,,0,0,0,0
Magneto,MagnetoFTGPT,14.98,77,437,37,551
Magneto,MagnetoFT,34.86,167,312,72,551
Magneto,MagnetoGPT,8.47,41,443,67,551
Magneto,ISResMat,59.32,210,144,20,374
Magneto,COMA++,51.19,258,246,5,509
Magneto,COMA,61.16,326,207,11,544
Magneto,Similarity Flooding,43.14,217,286,40,543
Magneto,Distribution Based,88.05,464,63,17,544
Magneto,Cupid,75.0,393,131,25,549
ISResMat,MetaSpace,0.0,0,1,0,1
ISResMat,LLMATCH,1.7,3,173,0,176
ISResMat,SMUTF,6.82,12,164,0,176
ISResMat,MagnetoFTGPT,8.7,32,336,6,374
ISResMat,MagnetoFT,27.93,100,258,16,374
ISResMat,MagnetoGPT,12.33,45,320,9,374
ISResMat,Magneto,40.68,144,210,20,374
ISResMat,COMA++,34.51,117,222,7,346
ISResMat,COMA,43.73,164,211,6,381
ISResMat,Similarity Flooding,35.84,124,222,36,382
ISResMat,Distribution Based,89.04,325,40,16,381
ISResMat,Cupid,68.04,247,116,11,374
COMA++,MetaSpace,0.0,0,1,0,1
COMA++,LLMATCH,0.0,0,41,0,41
COMA++,SMUTF,0.0,0,29,12,41
COMA++,MagnetoFTGPT,18.22,88,395,26,509
COMA++,MagnetoFT,42.08,210,289,10,509
COMA++,MagnetoGPT,27.57,137,360,12,509
COMA++,Magneto,48.81,246,258,5,509
COMA++,ISResMat,65.49,222,117,7,346
COMA++,COMA,70.05,255,109,152,516
COMA++,Similarity Flooding,56.74,282,215,18,515
COMA++,Distribution Based,88.66,422,54,40,516
COMA++,Cupid,74.1,349,122,38,509
COMA,MetaSpace,0.0,0,1,0,1
COMA,LLMATCH,0.0,0,6,0,6
COMA,SMUTF,0.0,0,6,0,6
COMA,MagnetoFTGPT,13.0,68,455,21,544
COMA,MagnetoFT,31.52,168,365,11,544
COMA,MagnetoGPT,20.45,109,424,11,544
COMA,Magneto,38.84,207,326,11,544
COMA,ISResMat,56.27,211,164,6,381
COMA,COMA++,29.95,109,255,152,516
COMA,Similarity Flooding,50.1,262,261,27,550
COMA,Distribution Based,80.61,420,101,30,551
COMA,Cupid,72.76,358,134,52,544
Similarity Flooding,MetaSpace,0.0,0,1,0,1
Similarity Flooding,LLMATCH,0.0,0,7,0,7
Similarity Flooding,SMUTF,0.0,0,7,0,7
Similarity Flooding,MagnetoFTGPT,16.83,86,425,32,543
Similarity Flooding,MagnetoFT,32.06,159,337,47,543
Similarity Flooding,MagnetoGPT,21.77,108,388,47,543
Similarity Flooding,Magneto,56.86,286,217,40,543
Similarity Flooding,ISResMat,64.16,222,124,36,382
Similarity Flooding,COMA++,43.26,215,282,18,515
Similarity Flooding,COMA,49.9,261,262,27,550
Similarity Flooding,Distribution Based,75.43,393,128,29,550
Similarity Flooding,Cupid,67.55,333,160,50,543
Distribution Based,MetaSpace,0.0,0,1,0,1
Distribution Based,LLMATCH,0.0,0,6,0,6
Distribution Based,SMUTF,0.0,0,6,0,6
Distribution Based,MagnetoFTGPT,4.1,22,515,7,544
Distribution Based,MagnetoFT,9.83,52,477,15,544
Distribution Based,MagnetoGPT,7.1,38,497,9,544
Distribution Based,Magneto,11.95,63,464,17,544
Distribution Based,ISResMat,10.96,40,325,16,381
Distribution Based,COMA++,11.34,54,422,40,516
Distribution Based,COMA,19.39,101,420,30,551
Distribution Based,Similarity Flooding,24.57,128,393,29,550
Distribution Based,Cupid,51.16,243,232,69,544
Cupid,MetaSpace,0.0,0,1,0,1
Cupid,LLMATCH,,0,0,0,0
Cupid,SMUTF,,0,0,0,0
Cupid,MagnetoFTGPT,5.16,27,496,26,549
Cupid,MagnetoFT,15.55,79,429,41,549
Cupid,MagnetoGPT,10.94,56,456,37,549
Cupid,Magneto,25.0,131,393,25,549
Cupid,ISResMat,31.96,116,247,11,374
Cupid,COMA++,25.9,122,349,38,509
Cupid,COMA,27.24,134,358,52,544
Cupid,Similarity Flooding,32.45,160,333,50,543
Cupid,Distribution Based,48.84,232,243,69,544
