Unnamed: 0,MetaMatch,LLMATCH,SMUTF,MagnetoFTGPT,MagnetoFT,MagnetoGPT,Magneto,ISResMat,COMA++,COMA,Similarity Flooding,Distribution Based,Cupid
MetaMatch,,,,,,,,100.0,100.0,100.0,100.0,100.0,100.0
LLMATCH,,,86.97,,,,,98.3,100.0,100.0,100.0,100.0,
SMUTF,,13.03,,,,,,93.18,100.0,100.0,100.0,100.0,
MagnetoFTGPT,,,,,96.06,54.83,85.02,91.3,81.78,87.0,83.17,95.9,94.84
MagnetoFT,,,,3.94,,18.99,65.14,72.07,57.92,68.48,67.94,90.17,84.45
MagnetoGPT,,,,45.17,81.01,,91.53,87.67,72.43,79.55,78.23,92.9,89.06
Magneto,,,,14.98,34.86,8.47,,59.32,51.19,61.16,43.14,88.05,75.0
ISResMat,0.0,1.7,6.82,8.7,27.93,12.33,40.68,,34.51,43.73,35.84,89.04,68.04
COMA++,0.0,0.0,0.0,18.22,42.08,27.57,48.81,65.49,,70.05,56.74,88.66,74.1
COMA,0.0,0.0,0.0,13.0,31.52,20.45,38.84,56.27,29.95,,50.1,80.61,72.76
Similarity Flooding,0.0,0.0,0.0,16.83,32.06,21.77,56.86,64.16,43.26,49.9,,75.43,67.55
Distribution Based,0.0,0.0,0.0,4.1,9.83,7.1,11.95,10.96,11.34,19.39,24.57,,51.16
Cupid,0.0,,,5.16,15.55,10.94,25.0,31.96,25.9,27.24,32.45,48.84,
