method,pair_id,runtime_sec_pair,runtime_min_pair,n_candidate_rows
MetaSpace,ChEMBL__Joinable__assays_both_50_1_ac1_ev,0.0,0.0,144.0
MetaSpace,ChEMBL__Joinable__assays_both_50_1_ac2_ev,0.0,0.0,576.0
MetaSpace,ChEMBL__Joinable__assays_both_50_1_ac3_ev,0.0,0.0,432.0
MetaSpace,ChEMBL__Joinable__assays_both_50_1_ac4_ev,0.0,0.0,144.0
MetaSpace,ChEMBL__Joinable__assays_both_50_1_ac5_ev,0.0,0.0,288.0
MetaSpace,ChEMBL__Joinable__assays_both_50_1_ec_ev,0.0,0.0,144.0
MetaSpace,ChEMBL__Joinable__assays_both_50_30_ac1_ev,0.0,0.0,210.0
MetaSpace,ChEMBL__Joinable__assays_both_50_30_ac2_ev,0.0,0.0,210.0
MetaSpace,ChEMBL__Joinable__assays_both_50_30_ac3_ev,0.0,0.0,420.0
MetaSpace,ChEMBL__Joinable__assays_both_50_30_ac4_ev,0.0,0.0,210.0
MetaSpace,ChEMBL__Joinable__assays_both_50_30_ac5_ev,0.0,0.0,210.0
MetaSpace,ChEMBL__Joinable__assays_both_50_30_ec_ev,0.0,0.0,420.0
MetaSpace,ChEMBL__Joinable__assays_both_50_50_ac1_ev,0.0,0.0,867.0
MetaSpace,ChEMBL__Joinable__assays_both_50_50_ac2_ev,0.0,0.0,289.0
MetaSpace,ChEMBL__Joinable__assays_both_50_50_ac3_ev,0.0,0.0,578.0
MetaSpace,ChEMBL__Joinable__assays_both_50_50_ac4_ev,0.0,0.0,578.0
MetaSpace,ChEMBL__Joinable__assays_both_50_50_ac5_ev,0.0,0.0,289.0
MetaSpace,ChEMBL__Joinable__assays_both_50_50_ec_ev,0.0,0.0,289.0
MetaSpace,ChEMBL__Joinable__assays_both_50_70_ac1_ev,0.0,0.0,380.0
MetaSpace,ChEMBL__Joinable__assays_both_50_70_ac2_ev,0.0,0.0,380.0
MetaSpace,ChEMBL__Joinable__assays_both_50_70_ac3_ev,0.0,0.0,380.0
MetaSpace,ChEMBL__Joinable__assays_both_50_70_ac4_ev,0.0,0.0,760.0
MetaSpace,ChEMBL__Joinable__assays_both_50_70_ac5_ev,0.01,0.0,1140.0
MetaSpace,ChEMBL__Joinable__assays_both_50_70_ec_ev,0.01,0.0,1900.0
MetaSpace,ChEMBL__Joinable__assays_vertical_1_ac1_ev,0.0,0.0,288.0
MetaSpace,ChEMBL__Joinable__assays_vertical_1_ac2_ev,0.0,0.0,288.0
MetaSpace,ChEMBL__Joinable__assays_vertical_1_ac3_ev,0.0,0.0,144.0
MetaSpace,ChEMBL__Joinable__assays_vertical_1_ac4_ev,0.0,0.0,144.0
MetaSpace,ChEMBL__Joinable__assays_vertical_1_ac5_ev,0.0,0.0,144.0
MetaSpace,ChEMBL__Joinable__assays_vertical_1_ec_ev,0.0,0.0,288.0
MetaSpace,ChEMBL__Joinable__assays_vertical_30_ac1_ev,0.0,0.0,420.0
MetaSpace,ChEMBL__Joinable__assays_vertical_30_ac2_ev,0.0,0.0,420.0
MetaSpace,ChEMBL__Joinable__assays_vertical_30_ac3_ev,0.0,0.0,630.0
