dataset_group,method,mean_f1,std_f1,median_f1,n_pair_id
ChEMBL,MetaMatch,0.8022497139228317,0.2725960621786457,0.8844444444444444,180
ChEMBL,LLMATCH,0.8712064753698595,0.200533295571651,0.9545454545454544,180
ChEMBL,MagnetoFTGPT,0.8278974600782782,0.2282952985906461,0.9449404761904764,180
ChEMBL,MagnetoGPT,0.7867326314027998,0.243009740774667,0.8901363271852447,180
ChEMBL,SMUTF,0.77466163880292,0.2290477877246627,0.85,180
ChEMBL,MagnetoFT,0.753843130307444,0.2335121448309848,0.7928571428571429,180
ChEMBL,COMA++,0.5671421774549211,0.2766711536667905,0.6086956521739131,180
ChEMBL,Magneto,0.6305195271321339,0.2797842104329138,0.6957983193277311,180
ChEMBL,COMA,0.4526282027811596,0.2967404393518912,0.5000000000000001,180
ChEMBL,Similarity Flooding,0.4254669503456321,0.3292949039727229,0.3529411764705882,180
ChEMBL,ISResMat,0.5616127943459326,0.2492223464790794,0.5833333333333334,174
ChEMBL,Cupid,0.3475618193667404,0.3269598877174224,0.25,180
ChEMBL,Distribution Based,0.4747260566332753,0.3010159024550972,0.4685714285714285,180
TPC-DI,MetaMatch,0.7806727031809784,0.2648743607553325,0.8558441558441559,180
TPC-DI,LLMATCH,0.8967723112622611,0.2458579539817926,1.0,180
TPC-DI,MagnetoFTGPT,0.6384096581136992,0.2795313819262785,0.7320574162679425,180
TPC-DI,MagnetoGPT,0.6461806682090498,0.2797530675943703,0.7407407407407406,180
TPC-DI,SMUTF,0.8257985410947446,0.2013848299741624,0.9047619047619048,180
TPC-DI,MagnetoFT,0.6060250654695098,0.2741914651569063,0.6666666666666666,180
TPC-DI,COMA++,0.6379664139994368,0.2112749855119065,0.6666666666666666,179
TPC-DI,Magneto,0.6336169760739504,0.2568271334020265,0.6977687626774849,180
TPC-DI,COMA,0.5951961453720829,0.2514459957427287,0.625,179
TPC-DI,Similarity Flooding,0.5484765544424165,0.3473612453550178,0.6157894736842104,180
TPC-DI,ISResMat,0.662478249093262,0.2324814059883195,0.7200000000000001,179
TPC-DI,Cupid,0.3268476825984225,0.3515885941413108,0.0869565217391304,180
TPC-DI,Distribution Based,0.459596272434128,0.2115690546498848,0.5,180
OpenData,MetaMatch,0.8392300126043866,0.1530972023888394,0.8743589743589744,180
OpenData,LLMATCH,0.9914258848425198,0.0395447382651206,1.0,180
OpenData,MagnetoFTGPT,0.5615556952881172,0.3108853987100414,0.6167832167832168,180
OpenData,MagnetoGPT,0.5619929824694974,0.3122577669954336,0.6172161172161172,180
OpenData,SMUTF,0.7345903503143638,0.2692257875328539,0.8173611111111112,180
OpenData,MagnetoFT,0.6648314729664754,0.2965840793361101,0.7226107226107226,180
OpenData,COMA++,0.4230322302615453,0.2686827862707526,0.4571428571428571,174
OpenData,Magneto,0.536605593832014,0.2980913695157485,0.5714285714285714,180
OpenData,COMA,0.4653180886595301,0.2094595234198577,0.4409722222222222,180
OpenData,Similarity Flooding,0.5002419179305987,0.3573639008016031,0.5928571428571429,180
OpenData,ISResMat,0.4004750253888237,0.226238666353184,0.4258807115451691,180
OpenData,Cupid,0.3047248148134096,0.3728841370796348,0.11010101010101,180
OpenData,Distribution Based,0.1294540978739742,0.0721367711399177,0.1430898092135876,180
Magellan,MetaMatch,0.7959946441919877,0.1401884053628436,0.7777777777777778,7
Magellan,LLMATCH,0.6992063492063493,0.1070811109557011,0.7083333333333333,6
Magellan,MagnetoFTGPT,1.0,0.0,1.0,7
Magellan,MagnetoGPT,1.0,0.0,1.0,7
Magellan,MagnetoFT,1.0,0.0,1.0,7
Magellan,COMA++,0.7319727891156463,0.325211495256349,0.8571428571428571,7
Magellan,Magneto,1.0,0.0,1.0,7
Magellan,COMA,0.7786796536796537,0.3459401754589581,0.888888888888889,7
Magellan,Similarity Flooding,0.8928571428571429,0.2834733547569204,1.0,7
Magellan,ISResMat,1.0,0.0,1.0,7
Magellan,Cupid,0.7007936507936507,0.2098752463908477,0.7499999999999999,7
Magellan,Distribution Based,0.6268707482993197,0.18744973771125,0.6,7
Wikidata,MetaMatch,0.6741101491101491,0.1522741037377158,0.720947570947571,4
Wikidata,LLMATCH,0.0,0.0,0.0,3
Wikidata,MagnetoFT,0.0,0.0,0.0,3
Wikidata,COMA++,0.0,0.0,0.0,3
Wikidata,Magneto,0.6115319588081592,0.2198526649973538,0.5882352941176471,3
Wikidata,COMA,0.0,0.0,0.0,3
Wikidata,Similarity Flooding,0.073791547398319,0.0141510747437602,0.073501400560224,4
Wikidata,ISResMat,0.5864357864357864,0.1943743833386591,0.5714285714285714,3
Wikidata,Cupid,0.073791547398319,0.0141510747437602,0.073501400560224,4
Wikidata,Distribution Based,0.1991991341991341,0.1062247779655637,0.2004761904761904,4
