method,method_raw,pair_id,pair_id_raw,f1_all_to_all,precision_all_to_all,recall_all_to_all,runtime,scenario,source,dataset_group,relation_group
LLMATCH,LLMatch-llm,ChEMBL__Unionable__assays_horizontal_0_ec_ev,assays_horizontal_0_ec_ev,1.0,1.0,1.0,17.59520387649536,schema-complet,/Users/nahawandkired/Documents/Recherche/baselines/data_local/llmatch/llmatch_valentine_6_scenarios.csv,ChEMBL,Unionable
MagnetoFT,,OpenData__View -Unionable__miller2_both_0_70_ec_ev,,1.0,1.0,1.0,,,/Users/nahawandkired/Documents/metamatch/outputs/final_all_baselines_scan/all_baseline_results_long.csv,OpenData,View-Unionable
ISResMat,,TPC-DI__Semantically-Joinable__prospect_vertical_1_ec_av,,1.0,1.0,1.0,,,/Users/nahawandkired/Documents/metamatch/outputs/final_all_baselines_scan/all_baseline_results_long.csv,TPC-DI,Semantically-Joinable
MagnetoFT,,OpenData__View -Unionable__miller2_both_0_70_ec_av,,1.0,1.0,1.0,,,/Users/nahawandkired/Documents/metamatch/outputs/final_all_baselines_scan/all_baseline_results_long.csv,OpenData,View-Unionable
MagnetoFT,,OpenData__View -Unionable__miller2_both_0_50_ec_ev,,1.0,1.0,1.0,,,/Users/nahawandkired/Documents/metamatch/outputs/final_all_baselines_scan/all_baseline_results_long.csv,OpenData,View-Unionable
MagnetoFT,,OpenData__View -Unionable__miller2_both_0_50_ec_av,,1.0,1.0,1.0,,,/Users/nahawandkired/Documents/metamatch/outputs/final_all_baselines_scan/all_baseline_results_long.csv,OpenData,View-Unionable
MagnetoFT,,OpenData__View -Unionable__miller2_both_0_30_ec_ev,,1.0,1.0,1.0,,,/Users/nahawandkired/Documents/metamatch/outputs/final_all_baselines_scan/all_baseline_results_long.csv,OpenData,View-Unionable
MetaMatch,rf,OpenData__Unionable__miller2_horizontal_100_ec_av,OpenData__Unionable__miller2_horizontal_100_ec_av,1.0,1.0,1.0,,threshold_opt_pairf1_train_fast_grid001_strict_gt,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet,OpenData,Unionable
SMUTF,,ChEMBL__Joinable__assays_vertical_70_ac2_ev,,1.0,1.0,1.0,,,/Users/nahawandkired/Documents/metamatch/outputs/final_all_baselines_scan/all_baseline_results_long.csv,ChEMBL,Joinable
MagnetoFT,,OpenData__View -Unionable__miller2_both_0_30_ec_av,,1.0,1.0,1.0,,,/Users/nahawandkired/Documents/metamatch/outputs/final_all_baselines_scan/all_baseline_results_long.csv,OpenData,View-Unionable
