relation_group,method,mean_f1,std_f1,median_f1,n_pair_id
Joinable,MetaMatch,0.8517891720751298,0.2175460503068618,0.9116883116883118,144
Joinable,LLMATCH,0.9054777261197162,0.2154651452881174,1.0,144
Joinable,MagnetoFTGPT,0.6824238863627781,0.2963197265109584,0.7717171717171717,144
Joinable,MagnetoGPT,0.6709086792333331,0.2949327805434535,0.7878787878787877,144
Joinable,SMUTF,0.8269351727148768,0.2236221578076267,0.9198717948717948,144
Joinable,MagnetoFT,0.665582611426638,0.2615841752050122,0.7142857142857143,144
Joinable,COMA++,0.6395312551215128,0.2238828773916262,0.6978260869565218,144
Joinable,Magneto,0.5702049453397264,0.2720577530641918,0.625,144
Joinable,COMA,0.5079404974702826,0.2750923957213038,0.5266666666666666,144
Joinable,Similarity Flooding,0.4605559084991029,0.3331974988442957,0.3917808219178081,144
Joinable,ISResMat,0.6250728473863325,0.2708988383292834,0.6711711711711712,144
Joinable,Cupid,0.3072821707434258,0.332654985905997,0.1213235294117646,144
Joinable,Distribution Based,0.4539528148093806,0.3081577852252427,0.5,144
Semantically-Joinable,MetaMatch,0.7350303525833121,0.2458877351837922,0.791126867413632,144
Semantically-Joinable,LLMATCH,0.9192709216770424,0.1835228708886395,1.0,144
Semantically-Joinable,MagnetoFTGPT,0.6200822960156734,0.3047526514092823,0.6862745098039216,144
Semantically-Joinable,MagnetoGPT,0.6072121105377168,0.2994831315807716,0.6862745098039216,144
Semantically-Joinable,SMUTF,0.7227557106757353,0.2438472593200687,0.7379862700228834,144
Semantically-Joinable,MagnetoFT,0.6064232427850224,0.2856819743582161,0.631578947368421,144
Semantically-Joinable,COMA++,0.5526776852862968,0.2504406028445006,0.5714285714285715,143
Semantically-Joinable,Magneto,0.4999680094706584,0.2595785847791669,0.5164021164021164,144
Semantically-Joinable,COMA,0.5042429865877159,0.2696729423630866,0.5000000000000001,143
Semantically-Joinable,Similarity Flooding,0.43874200639843,0.3295819469078421,0.3599003735990037,144
Semantically-Joinable,ISResMat,0.4303382913748334,0.2314049766446304,0.4166666666666666,143
Semantically-Joinable,Cupid,0.3021321585936301,0.3403533539174488,0.100250626566416,144
Semantically-Joinable,Distribution Based,0.3091532963110361,0.2597395827629263,0.2857142857142857,144
Unionable,MetaMatch,0.9001729512228839,0.0805450542182648,0.9,108
Unionable,LLMATCH,0.9743110120920486,0.0406498776615527,0.9951456310679612,108
Unionable,MagnetoFTGPT,0.9093165196418712,0.1004009824368465,0.9411764705882352,108
Unionable,MagnetoGPT,0.9064332081114728,0.1000104677436597,0.9259005927952576,108
Unionable,SMUTF,0.8917887012838336,0.0825680173734745,0.8829654782116583,108
Unionable,MagnetoFT,0.8980516302553814,0.100719686043477,0.9130434782608696,108
Unionable,COMA++,0.3904062238255892,0.2879025336670368,0.5625,102
Unionable,Magneto,0.8965028519644526,0.0943044427992116,0.9110671936758894,108
Unionable,COMA,0.4905743787860938,0.2206328966774305,0.5161290322580645,108
Unionable,Similarity Flooding,0.6366507071149813,0.3769523515243366,0.815940594059406,108
Unionable,ISResMat,0.731615382732972,0.1198168072661274,0.7357293868921776,108
Unionable,Cupid,0.4029709924098003,0.3949713506998378,0.1481481481481481,108
Unionable,Distribution Based,0.4398973084166045,0.2217055157281171,0.4959016393442623,108
View-Unionable,MetaMatch,0.7657412990596412,0.2902348835165628,0.8531986531986532,144
View-Unionable,LLMATCH,0.8937739324775055,0.2314739179265278,1.0,144
View-Unionable,MagnetoFTGPT,0.5503349447402636,0.2879405442859246,0.5865384615384615,144
View-Unionable,MagnetoGPT,0.535687156747029,0.2792333458022544,0.5833333333333333,144
View-Unionable,SMUTF,0.700280753411548,0.2766084148289516,0.7692307692307693,144
View-Unionable,MagnetoFT,0.5853300090260904,0.2797939511665795,0.6186335403726708,144
View-Unionable,COMA++,0.5482107190947604,0.2668111270096336,0.6099033816425121,144
View-Unionable,Magneto,0.5083775275138984,0.256051361798327,0.5555555555555556,144
View-Unionable,COMA,0.5106821587101722,0.2737605153843803,0.5,144
View-Unionable,Similarity Flooding,0.4659458331645403,0.3316576326118146,0.4083333333333333,144
View-Unionable,ISResMat,0.4190319590469595,0.2326846666265241,0.4444444444444444,138
View-Unionable,Cupid,0.3122753223288096,0.3390167967173464,0.138095238095238,144
View-Unionable,Distribution Based,0.2366914412438517,0.2027145401199553,0.172590146954101,144
Real-world,MetaMatch,0.7516730096167735,0.1500978955069816,0.7445887445887446,11
Real-world,LLMATCH,0.4661375661375662,0.3597066268430562,0.6,9
Real-world,MagnetoFTGPT,1.0,0.0,1.0,7
Real-world,MagnetoGPT,1.0,0.0,1.0,7
Real-world,MagnetoFT,0.7,0.4830458915396479,1.0,10
Real-world,COMA++,0.5123809523809524,0.4421816927077818,0.8,10
Real-world,Magneto,0.8834595876424478,0.2143662412711456,1.0,10
Real-world,COMA,0.5450757575757577,0.4703858742675759,0.8819444444444445,10
Real-world,Similarity Flooding,0.5950151081448433,0.4680180296198159,1.0,11
Real-world,ISResMat,0.8759307359307359,0.2197819766022277,1.0,10
Real-world,Cupid,0.472792885922621,0.3557506411918446,0.6666666666666666,11
Real-world,Distribution Based,0.471353797717434,0.2665045651197472,0.4761904761904761,11
