method,fold_id,wall_time_sec,wall_time_min,loads_fine_tuned_checkpoint,uses_gpt_reranker,training_time_sec_logged,training_time_status,source_task_info
Magneto_ft_gpt,0,8497.746977125295,141.6291162854216,True,True,,not_logged_pretrained_checkpoint_loaded,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/results/fold_0/Magneto_ft_gpt/task_info.json
Magneto_ft_gpt,1,8243.648024721071,137.39413374535118,True,True,,not_logged_pretrained_checkpoint_loaded,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/results/fold_1/Magneto_ft_gpt/task_info.json
Magneto_ft_gpt,2,7982.788479537703,133.04647465896173,True,True,,not_logged_pretrained_checkpoint_loaded,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/results/fold_2/Magneto_ft_gpt/task_info.json
Magneto_ft_gpt,3,8269.626944297925,137.82711573829874,True,True,,not_logged_pretrained_checkpoint_loaded,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/results/fold_3/Magneto_ft_gpt/task_info.json
Magneto_ft_gpt,4,8375.23576525785,139.5872627542975,True,True,,not_logged_pretrained_checkpoint_loaded,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/results/fold_4/Magneto_ft_gpt/task_info.json
Magneto_ft_gpt,5,4438.081861334853,73.96803102224754,True,True,,not_logged_pretrained_checkpoint_loaded,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/results/fold_5/Magneto_ft_gpt/task_info.json
Magneto_ft_no_gpt,0,1605.5661547379568,26.75943591229928,True,False,,not_logged_pretrained_checkpoint_loaded,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/results/fold_0/Magneto_ft_no_gpt/task_info.json
Magneto_ft_no_gpt,1,1676.8443023115396,27.947405038525662,True,False,,not_logged_pretrained_checkpoint_loaded,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/results/fold_1/Magneto_ft_no_gpt/task_info.json
Magneto_ft_no_gpt,2,2116.585182696581,35.276419711609684,True,False,,not_logged_pretrained_checkpoint_loaded,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/results/fold_2/Magneto_ft_no_gpt/task_info.json
Magneto_ft_no_gpt,3,1565.682801806368,26.094713363439464,True,False,,not_logged_pretrained_checkpoint_loaded,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/results/fold_3/Magneto_ft_no_gpt/task_info.json
Magneto_ft_no_gpt,4,1572.3088221400976,26.205147035668293,True,False,,not_logged_pretrained_checkpoint_loaded,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/results/fold_4/Magneto_ft_no_gpt/task_info.json
Magneto_ft_no_gpt,5,876.5683904120233,14.609473173533722,True,False,,not_logged_pretrained_checkpoint_loaded,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/results/fold_5/Magneto_ft_no_gpt/task_info.json
Magneto_no_ft_gpt,0,25223.914715574123,420.398578592902,False,True,,not_applicable_no_ft_variant,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/results/fold_0/Magneto_no_ft_gpt/task_info.json
Magneto_no_ft_gpt,1,25188.297836715356,419.8049639452559,False,True,,not_applicable_no_ft_variant,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/results/fold_1/Magneto_no_ft_gpt/task_info.json
Magneto_no_ft_gpt,2,25043.868684357032,417.39781140595056,False,True,,not_applicable_no_ft_variant,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/results/fold_2/Magneto_no_ft_gpt/task_info.json
Magneto_no_ft_gpt,3,25031.48528118804,417.191421353134,False,True,,not_applicable_no_ft_variant,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/results/fold_3/Magneto_no_ft_gpt/task_info.json
Magneto_no_ft_gpt,4,24686.560087123886,411.44266811873143,False,True,,not_applicable_no_ft_variant,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/results/fold_4/Magneto_no_ft_gpt/task_info.json
Magneto_no_ft_gpt,5,14068.999381916015,234.4833230319336,False,True,,not_applicable_no_ft_variant,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/results/fold_5/Magneto_no_ft_gpt/task_info.json
Magneto_no_ft_no_gpt,0,1849.2698433417827,30.82116405569638,False,False,,not_applicable_no_ft_variant,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/results/fold_0/Magneto_no_ft_no_gpt/task_info.json
Magneto_no_ft_no_gpt,1,1845.190050587058,30.7531675097843,False,False,,not_applicable_no_ft_variant,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/results/fold_1/Magneto_no_ft_no_gpt/task_info.json
Magneto_no_ft_no_gpt,2,1920.05399514921,32.000899919153504,False,False,,not_applicable_no_ft_variant,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/results/fold_2/Magneto_no_ft_no_gpt/task_info.json
Magneto_no_ft_no_gpt,3,1885.2005603658035,31.42000933943006,False,False,,not_applicable_no_ft_variant,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/results/fold_3/Magneto_no_ft_no_gpt/task_info.json
Magneto_no_ft_no_gpt,4,1816.698440800421,30.27830734667368,False,False,,not_applicable_no_ft_variant,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/results/fold_4/Magneto_no_ft_no_gpt/task_info.json
Magneto_no_ft_no_gpt,5,1171.5941141527146,19.52656856921191,False,False,,not_applicable_no_ft_variant,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/results/fold_5/Magneto_no_ft_no_gpt/task_info.json
