pair_id,estimated_feature_build_sec_pair_61,assigned_rep_pair_id,candidate_pairs,rf_fit_sec_pair_share,rf_test_fold_appearances,runtime_sec_pair,runtime_note
Magellan__amazon_google_exp,38.005250651,Magellan__amazon_google_exp,16,5.615673451915668,1,43.620924102915666,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
Magellan__dblp_acm,59.383204142187495,Magellan__amazon_google_exp,25,5.571761430401604,3,64.9549655725891,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
Magellan__dblp_scholar,59.383204142187495,Magellan__amazon_google_exp,25,5.178372998638553,1,64.56157714082605,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
Magellan__beeradvo_ratebeer,59.383204142187495,Magellan__amazon_google_exp,25,12.894884620442308,1,72.2780887626298,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
Magellan__walmart_amazon,85.51181396474999,Magellan__amazon_google_exp,36,6.490463595692778,1,92.00227756044276,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
Magellan__fodors_zagats,8.39225297654545,TPC-DI__View-Unionable__prospect_both_0_1_ac2_ev,49,5.67392592550904,2,14.066178902054489,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
Magellan__itunes_amazon,13.872907981636356,TPC-DI__View-Unionable__prospect_both_0_1_ac2_ev,81,5.958538803030134,2,19.83144678466649,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
TPC-DI__View-Unionable__prospect_both_0_1_ac2_ev,22.607701895999988,TPC-DI__View-Unionable__prospect_both_0_1_ac2_ev,132,6.009124962753012,3,28.616826858753,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
TPC-DI__View-Unionable__prospect_both_0_1_ac4_ev,22.607701895999988,TPC-DI__View-Unionable__prospect_both_0_1_ac2_ev,132,5.39702322527711,2,28.004725121277097,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
TPC-DI__Semantically-Joinable__prospect_vertical_1_ac1_av,22.607701895999988,TPC-DI__View-Unionable__prospect_both_0_1_ac2_ev,132,6.053068523804223,2,28.66077041980421,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
TPC-DI__Semantically-Joinable__prospect_vertical_1_ac3_av,22.607701895999988,TPC-DI__View-Unionable__prospect_both_0_1_ac2_ev,132,5.654508434311249,3,28.262210330311238,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
TPC-DI__Semantically-Joinable__prospect_vertical_1_ac2_av,22.607701895999988,TPC-DI__View-Unionable__prospect_both_0_1_ac2_ev,132,5.178372998638553,1,27.78607489463854,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
TPC-DI__Semantically-Joinable__prospect_vertical_1_ac4_av,22.607701895999988,TPC-DI__View-Unionable__prospect_both_0_1_ac2_ev,132,5.178372998638553,1,27.78607489463854,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
TPC-DI__View-Unionable__prospect_both_0_1_ac1_av,22.607701895999988,TPC-DI__View-Unionable__prospect_both_0_1_ac2_ev,132,12.894884620442308,1,35.50258651644229,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
TPC-DI__View-Unionable__prospect_both_0_1_ac2_av,22.607701895999988,TPC-DI__View-Unionable__prospect_both_0_1_ac2_ev,132,12.894884620442308,1,35.50258651644229,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
TPC-DI__View-Unionable__prospect_both_0_1_ac1_ev,22.607701895999988,TPC-DI__View-Unionable__prospect_both_0_1_ac2_ev,132,5.178372998638553,1,27.78607489463854,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
