pair_id,dataset,short_dataset,feature_build_sec_pair,feature_build_reduced_sec_pair,category,relation,model,scenario,rf_fit_sec_pair_share,rf_test_fold_appearances,runtime_sec_pair,runtime_note
ChEMBL__Joinable__assays_both_50_1_ac1_ev,ChEMBL,assays_both_50_1_ac1_ev,41.518,15.311689087033272,ChEMBL,Joinable,minilm,si_si2,5.92123784065059,1,47.43923784065059,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
ChEMBL__Unionable__assays_horizontal_50_ac5_av,ChEMBL,assays_horizontal_50_ac5_av,135.021,55.62262716172634,ChEMBL,Unionable,minilm,si_si2,5.178372998638553,1,140.19937299863855,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
OpenData__Semantically-Joinable__miller2_both_50_70_ac4_av,OpenData,miller2_both_50_70_ac4_av,472.53,205.7300479828566,OpenData,Semantically-Joinable,minilm,si_si2,5.571761430401604,3,478.10176143040155,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
TPC-DI__Joinable__prospect_both_50_50_ec_ev,TPC-DI,prospect_both_50_50_ec_ev,74.358,28.780597868368037,TPC-DI,Joinable,minilm,si_si2,5.178372998638553,1,79.53637299863856,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
TPC-DI__View-Unionable__prospect_both_0_30_ac1_ev,TPC-DI,prospect_both_0_30_ac1_ev,56.218,21.360951246351007,TPC-DI,View-Unionable,minilm,si_si2,5.549805419644571,2,61.767805419644574,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
ChEMBL__Joinable__assays_both_50_1_ac2_ev,ChEMBL,assays_both_50_1_ac2_ev,40.936,15.122172705143686,ChEMBL,Joinable,minilm,si_si2,5.801436971724397,4,46.7374369717244,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
ChEMBL__Unionable__assays_horizontal_50_ac5_ev,ChEMBL,assays_horizontal_50_ac5_ev,139.097,57.23477568936349,ChEMBL,Unionable,minilm,si_si2,5.754172111337352,4,144.85117211133735,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
OpenData__Semantically-Joinable__miller2_both_50_70_ac5_av,OpenData,miller2_both_50_70_ac5_av,442.838,192.48975161510708,OpenData,Semantically-Joinable,minilm,si_si2,5.42661401036749,1,448.2646140103675,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
TPC-DI__Joinable__prospect_both_50_70_ac1_ev,TPC-DI,prospect_both_50_70_ac1_ev,95.898,38.40243994812667,TPC-DI,Joinable,minilm,si_si2,5.615673451915668,1,101.51367345191566,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
TPC-DI__View-Unionable__prospect_both_0_30_ac2_av,TPC-DI,prospect_both_0_30_ac2_av,56.884,21.59383534678817,TPC-DI,View-Unionable,minilm,si_si2,6.009124962753012,3,62.893124962753014,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
