method,raw_method,fold_id,runtime_sec,source
Full MetaSpace,meta_space,0,,outputs/exp_occidata/results/fold_0/meta_space/task_info.json
Full MetaSpace,meta_space,1,,outputs/exp_occidata/results/fold_1/meta_space/task_info.json
Full MetaSpace,meta_space,2,,outputs/exp_occidata/results/fold_2/meta_space/task_info.json
Full MetaSpace,meta_space,3,,outputs/exp_occidata/results/fold_3/meta_space/task_info.json
Full MetaSpace,meta_space,4,,outputs/exp_occidata/results/fold_4/meta_space/task_info.json
Full MetaSpace,meta_space,5,,outputs/exp_occidata/results/fold_5/meta_space/task_info.json
SMUTF,SMUTF,0,10278.911955160089,outputs/exp_occidata/results/fold_0/SMUTF/task_info.json
SMUTF,SMUTF,1,10679.602025680942,outputs/exp_occidata/results/fold_1/SMUTF/task_info.json
SMUTF,SMUTF,2,10384.013293850236,outputs/exp_occidata/results/fold_2/SMUTF/task_info.json
SMUTF,SMUTF,3,9462.308487889124,outputs/exp_occidata/results/fold_3/SMUTF/task_info.json
SMUTF,SMUTF,4,10749.598799308063,outputs/exp_occidata/results/fold_4/SMUTF/task_info.json
SMUTF,SMUTF,5,3177.1402826085687,outputs/exp_occidata/results/fold_5/SMUTF/task_info.json
LLMATCH,LLMATCH,0,61.67747007100843,outputs/exp_occidata/results/fold_0/LLMATCH/task_info.json
LLMATCH,LLMATCH,1,61.93156929593533,outputs/exp_occidata/results/fold_1/LLMATCH/task_info.json
LLMATCH,LLMATCH,2,62.31686020176858,outputs/exp_occidata/results/fold_2/LLMATCH/task_info.json
LLMATCH,LLMATCH,3,62.90729576302692,outputs/exp_occidata/results/fold_3/LLMATCH/task_info.json
LLMATCH,LLMATCH,4,59.73568968998734,outputs/exp_occidata/results/fold_4/LLMATCH/task_info.json
LLMATCH,LLMATCH,5,35.18687059171498,outputs/exp_occidata/results/fold_5/LLMATCH/task_info.json
MagnetoFTGPT,Magneto_ft_gpt,0,8497.746977125295,outputs/exp_occidata/results/fold_0/Magneto_ft_gpt/task_info.json
MagnetoFTGPT,Magneto_ft_gpt,1,8243.648024721071,outputs/exp_occidata/results/fold_1/Magneto_ft_gpt/task_info.json
MagnetoFTGPT,Magneto_ft_gpt,2,7982.788479537703,outputs/exp_occidata/results/fold_2/Magneto_ft_gpt/task_info.json
MagnetoFTGPT,Magneto_ft_gpt,3,8269.626944297925,outputs/exp_occidata/results/fold_3/Magneto_ft_gpt/task_info.json
