method,mean_f1,std_f1,mean_precision,std_precision,mean_recall,std_recall,n_pair_id
LLMATCH,0.8532415997258463,0.24564125821335,0.8371524800234181,0.2828138347854383,0.9332942440263122,0.1754304755162502,551
MetaMatch,0.8062719427463882,0.2359877283810758,0.8026686329032842,0.2619545872282214,0.8423811225970989,0.2437661969309687,551
MagnetoFTGPT,0.7425516127848804,0.2479918217153489,0.7596271862975753,0.3013950900363119,0.845022667539215,0.1898777839882422,551
MagnetoGPT,0.7243727497158815,0.293005347336219,0.6963952829771493,0.3292472422412356,0.9030639528753978,0.1540653275781852,551
SMUTF,0.7171387671266704,0.2665315421460857,0.7388498445399777,0.306627698678752,0.7709635264197564,0.26006820991837,551
MagnetoFT,0.6114660570915491,0.2666386334109361,0.5596784281458432,0.2859685345677922,0.8042971150426556,0.2257005104064244,551
COMA++,0.5861888811281851,0.2363696975712783,0.7880247835552354,0.3212553014696156,0.5588145093567064,0.2753864149094127,509
Magneto,0.580056787068537,0.2880013785032917,0.5084830794236717,0.3008794993703592,0.84087209305363,0.199834630175097,551
COMA,0.5146387772040061,0.2608000547599041,0.7259600746330451,0.3404549468924073,0.4911132718074054,0.306541541041568,544
Similarity Flooding,0.5015421073969102,0.3514283670557985,0.4744024780471149,0.3482209082065172,0.6766183603424846,0.389679969572531,543
ISResMat,0.4938479914332439,0.2565167434501977,0.438546436195963,0.2647325527442972,0.7034787274170727,0.254882152525897,374
Cupid,0.3156146526549424,0.3658642023367178,0.4288530489474894,0.3992244426346713,0.3491724969005987,0.4206772637878703,551
Distribution Based,0.2399590560363841,0.2519558823914131,0.3024978086520007,0.3031964270371989,0.2366878951795784,0.2842746724308231,544
