method,mean_f1,std_f1,mean_precision,std_precision,mean_recall,std_recall,n_pair_id,missing_to_551
LLMATCH,0.9123644425513177,0.20307396812558332,0.9066059214302579,0.22955273561573444,0.9451918867938113,0.17207807688115972,549,2
MetaSpace,0.7867171358778942,0.17841769916877492,0.9418461103583675,0.16034051334335322,0.7111671689426945,0.22315032190091938,551,0
SMUTF,0.7783501767373429,0.23739895287272447,0.7927801713314951,0.2795606591702875,0.830310972244263,0.21597312025767423,540,11
MagnetoFTGPT,0.6801011086406162,0.29682958664326087,0.6317977437936848,0.32992192695014627,0.8744531909923466,0.18614025370456544,547,4
MagnetoFT,0.6753562552251223,0.28007018731645666,0.6276207713872032,0.31395136051824646,0.8594654826573102,0.20306778696296013,550,1
MagnetoGPT,0.6692561805752146,0.2947947155275691,0.6164748880501443,0.3239422807970882,0.8733241654430702,0.1854866050186741,547,4
Magneto,0.6053966788059676,0.28316464346751,0.5311473019161383,0.2993295837335979,0.8677172538149287,0.17560725869425062,550,1
ISResMat,0.5472358098216976,0.26245041385465545,0.508739830852943,0.2833940508485879,0.7191357720783058,0.2500410317492356,543,8
COMA++,0.5433020214311297,0.27209993864738197,0.7316229861809973,0.3699038861359958,0.5181459519875325,0.3012392546963776,543,8
COMA Instance,0.5402865123193006,0.2688199929954017,0.7235230194796923,0.3727646693795336,0.6449242321764613,0.26897097991063296,551,0
COMA,0.504956648554981,0.2671490633940474,0.7127910393449483,0.3507699824697729,0.4824358588886981,0.31115040042506115,549,2
Similarity Flooding,0.493463779090653,0.3504724501152881,0.46477845786207733,0.3496492272777195,0.7744860492635753,0.33159814847053926,551,0
Distribution Based,0.3569231372492554,0.2687560847340691,0.36081547412004406,0.3051527479965694,0.669424678396824,0.29978895894567864,551,0
Cupid,0.32930108668837005,0.35113612458879645,0.4200236632603054,0.38964788717501586,0.7344328114379544,0.38314611833943707,551,0
