method,preliminary_computation,preliminary_time_sec,preliminary_time_hours,application_time_sec_551_pairs,application_time_hours_551_pairs,known_total_time_sec_551_pairs,known_total_time_hours_551_pairs,n_runtime_pairs,application_source,preliminary_note
MetaSpace,61 meta-features construction + RF training,66565.13,18.49,3.76,0.0,66568.89,18.49,551,RF predict_proba only on all test rows over 6 folds,"Recalibrated from real fold_0 RF fit with n_jobs=-1 (50.59s for 260706 train rows), scaled by total train rows over the 6 folds."
LLMATCH,/,,,13307.15,3.7,13307.15,3.7,551,mean pair runtime x 551,External/precomputed cost not logged.
SMUTF,XGBoost fine-tuning,7977.31,2.22,15.6,0.0,7992.91,2.22,551,16 official XGBoost models predict-only over 551 pairs,Local SMUTF complet-complet fine-tuning duration estimated from model timestamps.
MagnetoFTGPT,fine-tuning,306456.07,85.13,34157.76,9.49,340613.82,94.61,551,mean pair runtime x 551,Estimated from measured CPU batches: one category model x 5 categories.
MagnetoFT,fine-tuning,306456.07,85.13,5124.29,1.42,311580.36,86.55,551,mean pair runtime x 551,Estimated from measured CPU batches: one category model x 5 categories.
MagnetoGPT,/,,,126008.17,35.0,126008.17,35.0,551,mean pair runtime x 551,No fine-tuning in this run; original checkpoint cost not logged.
Magneto,/,,,4482.59,1.25,4482.59,1.25,551,mean pair runtime x 551,No fine-tuning in this run; original checkpoint cost not logged.
ISResMat,/,0.0,0.0,60054.0,16.68,60054.0,16.68,374,mean pair runtime x 551,/
COMA++,/,0.0,0.0,71965.44,19.99,71965.44,19.99,509,mean pair runtime x 551,/
COMA Instance,/,0.0,0.0,,,0.0,0.0,0,not available,/
COMA,/,0.0,0.0,1067.16,0.3,1067.16,0.3,544,mean pair runtime x 551,/
Similarity Flooding,/,0.0,0.0,1760.18,0.49,1760.18,0.49,543,mean pair runtime x 551,/
Distribution Based,/,0.0,0.0,15924.58,4.42,15924.58,4.42,544,mean pair runtime x 551,/
Cupid,/,0.0,0.0,34045.62,9.46,34045.62,9.46,551,mean pair runtime x 551,/
