,LLMATCH,MetaSpace,SMUTF,MagnetoFTGPT,MagnetoFT,MagnetoGPT,Magneto,ISResMat,COMA++,COMA Instance,COMA,Similarity Flooding,Distribution Based,Cupid
LLMATCH,549.0,549.0,540.0,546.0,549.0,546.0,549.0,542.0,542.0,549.0,548.0,549.0,549.0,549.0
MetaSpace,549.0,551.0,540.0,547.0,550.0,547.0,550.0,543.0,543.0,551.0,549.0,551.0,551.0,551.0
SMUTF,540.0,540.0,540.0,540.0,540.0,540.0,540.0,533.0,533.0,540.0,539.0,540.0,540.0,540.0
MagnetoFTGPT,546.0,547.0,540.0,547.0,547.0,547.0,547.0,540.0,540.0,547.0,546.0,547.0,547.0,547.0
MagnetoFT,549.0,550.0,540.0,547.0,550.0,547.0,550.0,543.0,543.0,550.0,549.0,550.0,550.0,550.0
MagnetoGPT,546.0,547.0,540.0,547.0,547.0,547.0,547.0,540.0,540.0,547.0,546.0,547.0,547.0,547.0
Magneto,549.0,550.0,540.0,547.0,550.0,547.0,550.0,543.0,543.0,550.0,549.0,550.0,550.0,550.0
ISResMat,542.0,543.0,533.0,540.0,543.0,540.0,543.0,543.0,537.0,543.0,543.0,543.0,543.0,543.0
COMA++,542.0,543.0,533.0,540.0,543.0,540.0,543.0,537.0,543.0,543.0,543.0,543.0,543.0,543.0
COMA Instance,549.0,551.0,540.0,547.0,550.0,547.0,550.0,543.0,543.0,551.0,549.0,551.0,551.0,551.0
COMA,548.0,549.0,539.0,546.0,549.0,546.0,549.0,543.0,543.0,549.0,549.0,549.0,549.0,549.0
Similarity Flooding,549.0,551.0,540.0,547.0,550.0,547.0,550.0,543.0,543.0,551.0,549.0,551.0,551.0,551.0
Distribution Based,549.0,551.0,540.0,547.0,550.0,547.0,550.0,543.0,543.0,551.0,549.0,551.0,551.0,551.0
Cupid,549.0,551.0,540.0,547.0,550.0,547.0,550.0,543.0,543.0,551.0,549.0,551.0,551.0,551.0
