,MetaSpace,LLMATCH,SMUTF,MagnetoFTGPT,MagnetoFT,MagnetoGPT,Magneto,ISResMat,COMA++,COMA,Similarity Flooding,Distribution Based,Cupid
MetaSpace,0,0,0,0,0,0,0,1,1,1,1,1,1
LLMATCH,0,0,551,0,0,0,0,176,41,6,7,6,0
SMUTF,0,551,0,0,0,0,0,176,41,6,7,6,0
MagnetoFTGPT,0,0,0,0,551,551,551,374,509,544,543,544,549
MagnetoFT,0,0,0,551,0,551,551,374,509,544,543,544,549
MagnetoGPT,0,0,0,551,551,0,551,374,509,544,543,544,549
Magneto,0,0,0,551,551,551,0,374,509,544,543,544,549
ISResMat,1,176,176,374,374,374,374,0,346,381,382,381,374
COMA++,1,41,41,509,509,509,509,346,0,516,515,516,509
COMA,1,6,6,544,544,544,544,381,516,0,550,551,544
Similarity Flooding,1,7,7,543,543,543,543,382,515,550,0,550,543
Distribution Based,1,6,6,544,544,544,544,381,516,551,550,0,544
Cupid,1,0,0,549,549,549,549,374,509,544,543,544,0
