,LLMATCH,MetaSpace,SMUTF,MagnetoFTGPT,MagnetoFT,MagnetoGPT,Magneto,ISResMat,COMA++,COMA Instance,COMA,Similarity Flooding,Distribution Based,Cupid
LLMATCH,0.0,384.0,373.0,399.0,422.0,428.0,481.0,499.0,493.0,500.0,506.0,474.0,515.0,509.0
MetaSpace,61.0,0.0,248.0,305.0,330.0,317.0,389.0,453.0,444.0,452.0,463.0,388.0,492.0,447.0
SMUTF,41.0,227.0,0.0,312.0,331.0,338.0,420.0,477.0,433.0,440.0,460.0,422.0,499.0,473.0
MagnetoFTGPT,62.0,210.0,162.0,0.0,179.0,136.0,237.0,406.0,348.0,355.0,380.0,314.0,474.0,438.0
MagnetoFT,44.0,177.0,142.0,87.0,0.0,106.0,203.0,370.0,354.0,361.0,399.0,308.0,466.0,459.0
MagnetoGPT,54.0,204.0,148.0,54.0,166.0,0.0,229.0,399.0,346.0,353.0,375.0,312.0,471.0,433.0
Magneto,33.0,141.0,92.0,102.0,103.0,104.0,0.0,332.0,317.0,324.0,355.0,271.0,455.0,408.0
ISResMat,33.0,71.0,40.0,111.0,149.0,117.0,188.0,0.0,249.0,255.0,280.0,253.0,439.0,377.0
COMA++,27.0,62.0,60.0,183.0,174.0,184.0,221.0,275.0,0.0,0.0,251.0,280.0,371.0,347.0
COMA Instance,35.0,78.0,72.0,187.0,181.0,188.0,224.0,287.0,66.0,0.0,282.0,280.0,371.0,347.0
COMA,19.0,62.0,42.0,153.0,131.0,159.0,188.0,251.0,138.0,144.0,0.0,258.0,375.0,353.0
Similarity Flooding,43.0,146.0,94.0,187.0,200.0,193.0,224.0,265.0,261.0,242.0,289.0,0.0,340.0,325.0
Distribution Based,28.0,43.0,32.0,69.0,78.0,73.0,88.0,99.0,156.0,135.0,167.0,185.0,0.0,304.0
Cupid,18.0,91.0,44.0,86.0,73.0,88.0,125.0,165.0,183.0,150.0,191.0,162.0,195.0,0.0
