,MetaMatch,LLMATCH,MagnetoFTGPT,MagnetoGPT,SMUTF,MagnetoFT,COMA++,Magneto,COMA,Similarity Flooding,ISResMat,Cupid,Distribution Based
MetaMatch,,13.71,59.22,60.84,52.21,65.09,87.75,73.4,88.19,72.66,86.45,83.09,91.96
LLMATCH,86.29,,86.55,88.8,90.1,90.56,94.81,93.58,96.38,91.68,93.8,96.58,94.84
MagnetoFTGPT,40.78,13.45,,71.58,34.18,67.29,65.54,69.91,71.29,62.67,78.53,83.59,87.29
MagnetoGPT,39.16,11.2,28.42,,30.45,61.03,65.28,68.77,70.22,61.78,77.33,83.11,86.58
SMUTF,47.79,9.9,65.82,69.55,,69.98,87.83,82.03,91.63,81.78,92.26,91.49,93.97
MagnetoFT,34.91,9.44,32.71,38.97,30.02,,67.05,66.34,75.28,60.63,71.29,86.28,85.66
COMA++,12.25,5.19,34.46,34.72,12.17,32.95,,41.08,64.52,51.76,52.48,65.47,70.4
Magneto,26.6,6.42,30.09,31.23,17.97,33.66,58.92,,65.38,54.75,63.85,76.55,83.79
COMA,11.81,3.62,28.71,29.78,8.37,24.72,35.48,34.62,,47.17,47.27,64.89,69.19
Similarity Flooding,27.34,8.32,37.33,38.22,18.22,39.37,48.24,45.25,52.83,,51.16,66.74,64.76
ISResMat,13.55,6.2,21.47,22.67,7.74,28.71,47.52,36.15,52.73,48.84,,69.56,81.6
Cupid,16.91,3.42,16.41,16.89,8.51,13.72,34.53,23.45,35.11,33.26,30.44,,39.08
Distribution Based,8.04,5.16,12.71,13.42,6.03,14.34,29.6,16.21,30.81,35.24,18.4,60.92,
