,LLMATCH,MetaSpace,SMUTF,MagnetoFTGPT,MagnetoFT,MagnetoGPT,Magneto,ISResMat,COMA++,COMA Instance,COMA,Similarity Flooding,Distribution Based,Cupid
LLMATCH,0.0,69.94535519125684,69.07407407407408,73.07692307692308,76.86703096539162,78.3882783882784,87.61384335154827,92.06642066420665,90.95940959409594,91.07468123861567,92.33576642335767,86.33879781420765,93.80692167577413,92.71402550091075
MetaSpace,11.11111111111111,0.0,45.925925925925924,55.75868372943327,60.0,57.95246800731262,70.72727272727273,83.42541436464089,81.76795580110497,82.03266787658802,84.3351548269581,70.41742286751361,89.29219600725953,81.12522686025409
SMUTF,7.592592592592593,42.03703703703704,0.0,57.77777777777778,61.2962962962963,62.592592592592595,77.77777777777777,89.49343339587242,81.23827392120074,81.48148148148148,85.34322820037106,78.14814814814815,92.4074074074074,87.5925925925926
MagnetoFTGPT,11.355311355311356,38.391224862888485,30.0,0.0,32.72394881170018,24.862888482632542,43.327239488117,75.18518518518519,64.44444444444444,64.89945155393053,69.59706959706959,57.40402193784278,86.654478976234,80.07312614259598
MagnetoFT,8.014571948998178,32.18181818181818,26.296296296296298,15.904936014625228,0.0,19.378427787934186,36.90909090909091,68.13996316758748,65.19337016574586,65.63636363636364,72.6775956284153,56.0,84.72727272727273,83.45454545454545
MagnetoGPT,9.89010989010989,37.29433272394881,27.40740740740741,9.872029250457038,30.347349177330894,0.0,41.86471663619744,73.88888888888889,64.07407407407408,64.53382084095064,68.68131868131869,57.03839122486289,86.10603290676417,79.15904936014626
Magneto,6.0109289617486334,25.636363636363637,17.037037037037038,18.647166361974406,18.727272727272727,19.012797074954296,0.0,61.141804788213626,58.37937384898711,58.90909090909091,64.66302367941712,49.27272727272727,82.72727272727273,74.18181818181819
ISResMat,6.088560885608856,13.075506445672191,7.5046904315197,20.555555555555557,27.44014732965009,21.666666666666668,34.622467771639045,0.0,46.36871508379888,46.96132596685083,51.56537753222836,46.59300184162063,80.84714548802947,69.42909760589319
COMA++,4.981549815498155,11.41804788213628,11.25703564727955,33.888888888888886,32.04419889502763,34.074074074074076,40.699815837937386,51.21042830540037,0.0,0.0,46.224677716390424,51.56537753222836,68.32412523020258,63.904235727440145
COMA Instance,6.375227686703097,14.156079854809438,13.333333333333334,34.18647166361974,32.90909090909091,34.36928702010969,40.72727272727273,52.85451197053407,12.154696132596685,0.0,51.36612021857923,50.81669691470054,67.33212341197822,62.976406533575314
COMA,3.4671532846715327,11.293260473588342,7.792207792207792,28.021978021978022,23.861566484517304,29.12087912087912,34.24408014571949,46.224677716390424,25.414364640883978,26.229508196721312,0.0,46.994535519125684,68.30601092896175,64.29872495446266
Similarity Flooding,7.832422586520948,26.497277676950997,17.40740740740741,34.18647166361974,36.36363636363637,35.283363802559414,40.72727272727273,48.80294659300184,48.06629834254144,43.920145190562614,52.64116575591986,0.0,61.705989110707804,58.98366606170599
Distribution Based,5.100182149362477,7.80399274047187,5.925925925925926,12.614259597806216,14.181818181818182,13.345521023765997,16.0,18.23204419889503,28.7292817679558,24.500907441016334,30.418943533697632,33.57531760435572,0.0,55.172413793103445
Cupid,3.278688524590164,16.515426497277677,8.148148148148149,15.722120658135283,13.272727272727273,16.087751371115175,22.727272727272727,30.386740331491712,33.70165745856354,27.22323049001815,34.790528233151186,29.4010889292196,35.39019963702359,0.0
