,MetaSpace,LLMATCH,SMUTF,MagnetoFTGPT,MagnetoFT,MagnetoGPT,Magneto,ISResMat,COMA++,COMA,Similarity Flooding,Distribution Based,Cupid
MetaSpace,0,0,0,0,0,0,0,0,0,0,0,0,0
LLMATCH,0,0,60,0,0,0,0,0,0,0,0,0,0
SMUTF,0,60,0,0,0,0,0,0,12,0,0,0,0
MagnetoFTGPT,0,0,0,0,69,75,37,6,26,21,32,7,26
MagnetoFT,0,0,0,69,0,56,72,16,10,11,47,15,41
MagnetoGPT,0,0,0,75,56,0,67,9,12,11,47,9,37
Magneto,0,0,0,37,72,67,0,20,5,11,40,17,25
ISResMat,0,0,0,6,16,9,20,0,7,6,36,16,11
COMA++,0,0,12,26,10,12,5,7,0,152,18,40,38
COMA,0,0,0,21,11,11,11,6,152,0,27,30,52
Similarity Flooding,0,0,0,32,47,47,40,36,18,27,0,29,50
Distribution Based,0,0,0,7,15,9,17,16,40,30,29,0,69
Cupid,0,0,0,26,41,37,25,11,38,52,50,69,0
