config,fold_id,pair_id,n_rows,n_pos,precision,recall,f1,n_features
distance_topological,0,ChEMBL__Unionable__assays_horizontal_50_ac5_av,529,23,1.0,0.34782608695652173,0.5161290322580645,38
distance_topological,0,OpenData__Semantically-Joinable__miller2_both_50_70_ac4_av,1849,35,1.0,0.14285714285714285,0.25,38
distance_topological,0,TPC-DI__Joinable__prospect_both_50_50_ec_ev,272,11,1.0,0.7272727272727273,0.8421052631578947,38
distance_topological,0,TPC-DI__View-Unionable__prospect_both_0_30_ac1_ev,196,6,1.0,0.5,0.6666666666666666,38
distance_topological,0,ChEMBL__Joinable__assays_both_50_1_ac2_ev,144,1,0.0,0.0,0.0,38
distance_topological,0,ChEMBL__Unionable__assays_horizontal_50_ac5_ev,529,23,1.0,0.34782608695652173,0.5161290322580645,38
distance_topological,0,ChEMBL__Joinable__assays_both_50_1_ac3_ev,144,1,0.0,0.0,0.0,38
distance_topological,0,TPC-DI__View-Unionable__prospect_both_0_30_ac2_ev,196,6,1.0,0.5,0.6666666666666666,38
distance_topological,0,OpenData__Semantically-Joinable__miller2_vertical_1_ac4_av,676,1,0.0,0.0,0.0,38
distance_topological,0,TPC-DI__Joinable__prospect_both_50_70_ec_ev,342,15,1.0,0.8,0.8888888888888888,38
distance_topological,0,ChEMBL__View-Unionable__assays_both_0_1_ac2_ev,144,1,0.0,0.0,0.0,38
distance_topological,0,TPC-DI__Joinable__prospect_vertical_1_ac2_ev,132,1,1.0,1.0,1.0,38
distance_topological,0,TPC-DI__View-Unionable__prospect_both_0_30_ec_av,196,6,1.0,0.6666666666666666,0.8,38
distance_topological,0,OpenData__Semantically-Joinable__miller2_vertical_30_ac2_av,1089,15,0.6666666666666666,0.13333333333333333,0.2222222222222222,38
distance_topological,0,ChEMBL__Joinable__assays_both_50_30_ec_ev,210,6,1.0,0.5,0.6666666666666666,38
distance_topological,0,TPC-DI__View-Unionable__prospect_both_0_50_ac1_av,272,11,1.0,0.36363636363636365,0.5333333333333333,38
distance_topological,0,TPC-DI__Joinable__prospect_vertical_1_ec_ev,132,1,1.0,1.0,1.0,38
distance_topological,0,TPC-DI__View-Unionable__prospect_both_0_50_ac1_ev,272,11,1.0,0.36363636363636365,0.5333333333333333,38
distance_topological,0,ChEMBL__View-Unionable__assays_both_0_30_ac1_av,210,6,0.0,0.0,0.0,38
distance_topological,0,OpenData__Semantically-Joinable__miller2_vertical_50_ac3_av,1444,25,1.0,0.08,0.14814814814814814,38
distance_topological,0,ChEMBL__View-Unionable__assays_both_0_30_ac2_av,210,6,1.0,0.3333333333333333,0.5,38
distance_topological,0,OpenData__Semantically-Joinable__miller2_vertical_50_ac4_av,1444,25,0.75,0.12,0.20689655172413793,38
distance_topological,0,OpenData__Semantically-Joinable__miller2_vertical_50_ac5_av,1444,25,0.0,0.0,0.0,38
distance_topological,0,TPC-DI__Joinable__prospect_vertical_50_ac1_ev,272,11,1.0,0.7272727272727273,0.8421052631578947,38
distance_topological,0,ChEMBL__Joinable__assays_both_50_70_ac3_ev,380,16,1.0,0.25,0.4,38
distance_topological,0,ChEMBL__Joinable__assays_both_50_70_ac4_ev,380,16,1.0,0.375,0.5454545454545454,38
distance_topological,0,OpenData__Semantically-Joinable__miller2_vertical_70_ac2_av,1849,35,0.7272727272727273,0.22857142857142856,0.34782608695652173,38
distance_topological,0,ChEMBL__Joinable__assays_both_50_70_ec_ev,380,16,1.0,0.625,0.7692307692307693,38
distance_topological,0,TPC-DI__Joinable__prospect_vertical_50_ac5_ev,272,11,1.0,0.36363636363636365,0.5333333333333333,38
distance_topological,0,OpenData__Semantically-Joinable__miller2_vertical_70_ac4_av,1849,35,1.0,0.08571428571428572,0.15789473684210525,38
distance_topological,0,TPC-DI__Joinable__prospect_vertical_50_ec_ev,272,11,1.0,0.9090909090909091,0.9523809523809523,38
distance_topological,0,TPC-DI__Joinable__prospect_vertical_70_ac1_ev,342,15,1.0,0.7333333333333333,0.8461538461538461,38
distance_topological,0,ChEMBL__View-Unionable__assays_both_0_30_ec_av,210,6,1.0,0.3333333333333333,0.5,38
distance_topological,0,OpenData__Unionable__miller2_horizontal_0_ac1_ev,2601,51,1.0,0.27450980392156865,0.4307692307692308,38
distance_topological,0,TPC-DI__Joinable__prospect_vertical_70_ac4_ev,342,15,1.0,0.5333333333333333,0.6956521739130435,38
distance_topological,0,TPC-DI__View-Unionable__prospect_both_0_70_ac3_ev,342,15,1.0,0.2,0.3333333333333333,38
distance_topological,0,ChEMBL__Joinable__assays_vertical_1_ec_ev,144,1,0.0,0.0,0.0,38
distance_topological,0,OpenData__Unionable__miller2_horizontal_0_ac2_av,2601,51,1.0,0.37254901960784315,0.5428571428571428,38
distance_topological,0,TPC-DI__View-Unionable__prospect_both_0_70_ac4_ev,342,15,0.8,0.26666666666666666,0.4,38
distance_topological,0,ChEMBL__Joinable__assays_vertical_30_ac3_ev,210,6,1.0,0.6666666666666666,0.8,38
distance_topological,0,ChEMBL__View-Unionable__assays_both_0_50_ac3_av,289,11,1.0,0.09090909090909091,0.16666666666666666,38
distance_topological,0,TPC-DI__View-Unionable__prospect_both_0_70_ac5_ev,342,15,1.0,0.2,0.3333333333333333,38
distance_topological,0,ChEMBL__View-Unionable__assays_both_0_50_ac3_ev,289,11,1.0,0.36363636363636365,0.5333333333333333,38
distance_topological,0,ChEMBL__Joinable__assays_vertical_30_ec_ev,210,6,1.0,0.6666666666666666,0.8,38
distance_topological,0,ChEMBL__View-Unionable__assays_both_0_50_ac4_ev,289,11,1.0,0.36363636363636365,0.5333333333333333,38
distance_topological,0,ChEMBL__Joinable__assays_vertical_50_ac2_ev,289,11,1.0,0.18181818181818182,0.3076923076923077,38
distance_topological,0,Wikidata__Musicians__Musicians_unionable,400,19,0.8888888888888888,0.8421052631578947,0.8648648648648649,38
distance_topological,0,ChEMBL__Joinable__assays_vertical_50_ac4_ev,289,11,1.0,0.2727272727272727,0.42857142857142855,38
distance_topological,0,ChEMBL__View-Unionable__assays_both_0_50_ec_ev,289,11,1.0,0.45454545454545453,0.625,38
distance_topological,0,ChEMBL__View-Unionable__assays_both_0_70_ac1_av,380,16,1.0,0.3125,0.47619047619047616,38
distance_topological,0,OpenData__Unionable__miller2_horizontal_100_ac1_ev,2601,51,1.0,0.27450980392156865,0.4307692307692308,38
distance_topological,0,ChEMBL__Joinable__assays_vertical_50_ec_ev,289,11,1.0,0.45454545454545453,0.625,38
distance_topological,0,ChEMBL__View-Unionable__assays_both_0_70_ac2_av,380,16,1.0,0.1875,0.3157894736842105,38
distance_topological,0,TPC-DI__Semantically-Joinable__prospect_both_50_50_ac1_av,272,11,1.0,0.36363636363636365,0.5333333333333333,38
distance_topological,0,ChEMBL__Joinable__assays_vertical_70_ac3_ev,380,16,1.0,0.375,0.5454545454545454,38
distance_topological,0,OpenData__Unionable__miller2_horizontal_100_ac3_ev,2601,51,1.0,0.13725490196078433,0.2413793103448276,38
distance_topological,0,ChEMBL__View-Unionable__assays_both_0_70_ac3_ev,380,16,1.0,0.3125,0.47619047619047616,38
distance_topological,0,OpenData__Unionable__miller2_horizontal_100_ac4_ev,2601,51,1.0,0.35294117647058826,0.5217391304347826,38
distance_topological,0,TPC-DI__Semantically-Joinable__prospect_both_50_50_ac4_av,272,11,1.0,0.18181818181818182,0.3076923076923077,38
distance_topological,0,ChEMBL__Joinable__assays_vertical_70_ec_ev,380,16,1.0,0.6875,0.8148148148148148,38
distance_topological,0,ChEMBL__View-Unionable__assays_both_0_70_ac4_ev,380,16,1.0,0.5625,0.72,38
distance_topological,0,TPC-DI__Semantically-Joinable__prospect_both_50_50_ac5_av,272,11,1.0,0.18181818181818182,0.3076923076923077,38
