config,fold_id,pair_id,n_rows,n_pos,precision,recall,f1,n_features
syn_topological,0,ChEMBL__Unionable__assays_horizontal_50_ac5_av,529,23,1.0,0.391304347826087,0.5625,53
syn_topological,0,OpenData__Semantically-Joinable__miller2_both_50_70_ac4_av,1849,35,1.0,0.2571428571428571,0.4090909090909091,53
syn_topological,0,TPC-DI__Joinable__prospect_both_50_50_ec_ev,272,11,1.0,0.36363636363636365,0.5333333333333333,53
syn_topological,0,TPC-DI__View-Unionable__prospect_both_0_30_ac1_ev,196,6,1.0,0.3333333333333333,0.5,53
syn_topological,0,ChEMBL__Joinable__assays_both_50_1_ac2_ev,144,1,0.0,0.0,0.0,53
syn_topological,0,ChEMBL__Unionable__assays_horizontal_50_ac5_ev,529,23,1.0,0.391304347826087,0.5625,53
syn_topological,0,ChEMBL__Joinable__assays_both_50_1_ac3_ev,144,1,0.0,0.0,0.0,53
syn_topological,0,TPC-DI__View-Unionable__prospect_both_0_30_ac2_ev,196,6,1.0,0.5,0.6666666666666666,53
syn_topological,0,OpenData__Semantically-Joinable__miller2_vertical_1_ac4_av,676,1,0.0,0.0,0.0,53
syn_topological,0,TPC-DI__Joinable__prospect_both_50_70_ec_ev,342,15,1.0,0.3333333333333333,0.5,53
syn_topological,0,ChEMBL__View-Unionable__assays_both_0_1_ac2_ev,144,1,0.0,0.0,0.0,53
syn_topological,0,TPC-DI__Joinable__prospect_vertical_1_ac2_ev,132,1,1.0,1.0,1.0,53
syn_topological,0,TPC-DI__View-Unionable__prospect_both_0_30_ec_av,196,6,1.0,0.16666666666666666,0.2857142857142857,53
syn_topological,0,OpenData__Semantically-Joinable__miller2_vertical_30_ac2_av,1089,15,0.9285714285714286,0.8666666666666667,0.896551724137931,53
syn_topological,0,ChEMBL__Joinable__assays_both_50_30_ec_ev,210,6,1.0,0.5,0.6666666666666666,53
syn_topological,0,TPC-DI__View-Unionable__prospect_both_0_50_ac1_av,272,11,1.0,0.18181818181818182,0.3076923076923077,53
syn_topological,0,TPC-DI__Joinable__prospect_vertical_1_ec_ev,132,1,1.0,1.0,1.0,53
syn_topological,0,TPC-DI__View-Unionable__prospect_both_0_50_ac1_ev,272,11,1.0,0.45454545454545453,0.625,53
syn_topological,0,ChEMBL__View-Unionable__assays_both_0_30_ac1_av,210,6,0.0,0.0,0.0,53
syn_topological,0,OpenData__Semantically-Joinable__miller2_vertical_50_ac3_av,1444,25,1.0,0.28,0.4375,53
syn_topological,0,ChEMBL__View-Unionable__assays_both_0_30_ac2_av,210,6,1.0,0.5,0.6666666666666666,53
syn_topological,0,OpenData__Semantically-Joinable__miller2_vertical_50_ac4_av,1444,25,0.9,0.36,0.5142857142857142,53
syn_topological,0,OpenData__Semantically-Joinable__miller2_vertical_50_ac5_av,1444,25,1.0,0.12,0.21428571428571427,53
syn_topological,0,TPC-DI__Joinable__prospect_vertical_50_ac1_ev,272,11,1.0,0.9090909090909091,0.9523809523809523,53
syn_topological,0,ChEMBL__Joinable__assays_both_50_70_ac3_ev,380,16,1.0,0.3125,0.47619047619047616,53
syn_topological,0,ChEMBL__Joinable__assays_both_50_70_ac4_ev,380,16,1.0,0.5625,0.72,53
syn_topological,0,OpenData__Semantically-Joinable__miller2_vertical_70_ac2_av,1849,35,1.0,0.4857142857142857,0.6538461538461539,53
syn_topological,0,ChEMBL__Joinable__assays_both_50_70_ec_ev,380,16,1.0,0.4375,0.6086956521739131,53
syn_topological,0,TPC-DI__Joinable__prospect_vertical_50_ac5_ev,272,11,1.0,0.9090909090909091,0.9523809523809523,53
syn_topological,0,OpenData__Semantically-Joinable__miller2_vertical_70_ac4_av,1849,35,0.75,0.2571428571428571,0.3829787234042553,53
syn_topological,0,TPC-DI__Joinable__prospect_vertical_50_ec_ev,272,11,1.0,0.45454545454545453,0.625,53
syn_topological,0,TPC-DI__Joinable__prospect_vertical_70_ac1_ev,342,15,1.0,1.0,1.0,53
syn_topological,0,ChEMBL__View-Unionable__assays_both_0_30_ec_av,210,6,0.0,0.0,0.0,53
syn_topological,0,OpenData__Unionable__miller2_horizontal_0_ac1_ev,2601,51,1.0,0.47058823529411764,0.64,53
syn_topological,0,TPC-DI__Joinable__prospect_vertical_70_ac4_ev,342,15,1.0,0.8666666666666667,0.9285714285714286,53
syn_topological,0,TPC-DI__View-Unionable__prospect_both_0_70_ac3_ev,342,15,1.0,0.4,0.5714285714285714,53
syn_topological,0,ChEMBL__Joinable__assays_vertical_1_ec_ev,144,1,1.0,1.0,1.0,53
syn_topological,0,OpenData__Unionable__miller2_horizontal_0_ac2_av,2601,51,1.0,0.8823529411764706,0.9375,53
syn_topological,0,TPC-DI__View-Unionable__prospect_both_0_70_ac4_ev,342,15,1.0,0.5333333333333333,0.6956521739130435,53
syn_topological,0,ChEMBL__Joinable__assays_vertical_30_ac3_ev,210,6,1.0,1.0,1.0,53
syn_topological,0,ChEMBL__View-Unionable__assays_both_0_50_ac3_av,289,11,0.0,0.0,0.0,53
syn_topological,0,TPC-DI__View-Unionable__prospect_both_0_70_ac5_ev,342,15,1.0,0.3333333333333333,0.5,53
syn_topological,0,ChEMBL__View-Unionable__assays_both_0_50_ac3_ev,289,11,1.0,0.36363636363636365,0.5333333333333333,53
syn_topological,0,ChEMBL__Joinable__assays_vertical_30_ec_ev,210,6,0.75,0.5,0.6,53
syn_topological,0,ChEMBL__View-Unionable__assays_both_0_50_ac4_ev,289,11,1.0,0.2727272727272727,0.42857142857142855,53
syn_topological,0,ChEMBL__Joinable__assays_vertical_50_ac2_ev,289,11,1.0,0.7272727272727273,0.8421052631578947,53
syn_topological,0,Wikidata__Musicians__Musicians_unionable,400,19,0.9411764705882353,0.8421052631578947,0.8888888888888888,53
syn_topological,0,ChEMBL__Joinable__assays_vertical_50_ac4_ev,289,11,1.0,0.8181818181818182,0.9,53
syn_topological,0,ChEMBL__View-Unionable__assays_both_0_50_ec_ev,289,11,1.0,0.45454545454545453,0.625,53
syn_topological,0,ChEMBL__View-Unionable__assays_both_0_70_ac1_av,380,16,1.0,0.0625,0.11764705882352941,53
syn_topological,0,OpenData__Unionable__miller2_horizontal_100_ac1_ev,2601,51,1.0,0.47058823529411764,0.64,53
syn_topological,0,ChEMBL__Joinable__assays_vertical_50_ec_ev,289,11,0.75,0.2727272727272727,0.4,53
syn_topological,0,ChEMBL__View-Unionable__assays_both_0_70_ac2_av,380,16,1.0,0.4375,0.6086956521739131,53
syn_topological,0,TPC-DI__Semantically-Joinable__prospect_both_50_50_ac1_av,272,11,1.0,0.2727272727272727,0.42857142857142855,53
syn_topological,0,ChEMBL__Joinable__assays_vertical_70_ac3_ev,380,16,1.0,0.8125,0.896551724137931,53
syn_topological,0,OpenData__Unionable__miller2_horizontal_100_ac3_ev,2601,51,1.0,0.45098039215686275,0.6216216216216216,53
syn_topological,0,ChEMBL__View-Unionable__assays_both_0_70_ac3_ev,380,16,1.0,0.3125,0.47619047619047616,53
syn_topological,0,OpenData__Unionable__miller2_horizontal_100_ac4_ev,2601,51,1.0,0.6862745098039216,0.813953488372093,53
