config,fold_id,pair_id,n_rows,n_pos,precision,recall,f1,n_features
topological_only,0,ChEMBL__Unionable__assays_horizontal_50_ac5_av,529,23,1.0,0.08695652173913043,0.16,31
topological_only,0,OpenData__Semantically-Joinable__miller2_both_50_70_ac4_av,1849,35,0.0,0.0,0.0,31
topological_only,0,TPC-DI__Joinable__prospect_both_50_50_ec_ev,272,11,0.0,0.0,0.0,31
topological_only,0,TPC-DI__View-Unionable__prospect_both_0_30_ac1_ev,196,6,0.0,0.0,0.0,31
topological_only,0,ChEMBL__Joinable__assays_both_50_1_ac2_ev,144,1,0.0,0.0,0.0,31
topological_only,0,ChEMBL__Unionable__assays_horizontal_50_ac5_ev,529,23,1.0,0.08695652173913043,0.16,31
topological_only,0,ChEMBL__Joinable__assays_both_50_1_ac3_ev,144,1,0.0,0.0,0.0,31
topological_only,0,TPC-DI__View-Unionable__prospect_both_0_30_ac2_ev,196,6,1.0,0.16666666666666666,0.2857142857142857,31
topological_only,0,OpenData__Semantically-Joinable__miller2_vertical_1_ac4_av,676,1,0.0,0.0,0.0,31
topological_only,0,TPC-DI__Joinable__prospect_both_50_70_ec_ev,342,15,0.0,0.0,0.0,31
topological_only,0,ChEMBL__View-Unionable__assays_both_0_1_ac2_ev,144,1,0.0,0.0,0.0,31
topological_only,0,TPC-DI__Joinable__prospect_vertical_1_ac2_ev,132,1,0.0,0.0,0.0,31
topological_only,0,TPC-DI__View-Unionable__prospect_both_0_30_ec_av,196,6,1.0,0.16666666666666666,0.2857142857142857,31
topological_only,0,OpenData__Semantically-Joinable__miller2_vertical_30_ac2_av,1089,15,1.0,0.06666666666666667,0.125,31
topological_only,0,ChEMBL__Joinable__assays_both_50_30_ec_ev,210,6,0.0,0.0,0.0,31
topological_only,0,TPC-DI__View-Unionable__prospect_both_0_50_ac1_av,272,11,0.0,0.0,0.0,31
topological_only,0,TPC-DI__Joinable__prospect_vertical_1_ec_ev,132,1,0.0,0.0,0.0,31
topological_only,0,TPC-DI__View-Unionable__prospect_both_0_50_ac1_ev,272,11,0.0,0.0,0.0,31
topological_only,0,ChEMBL__View-Unionable__assays_both_0_30_ac1_av,210,6,0.0,0.0,0.0,31
