config,feature_set,fold_id,pair_id,n_rows,n_pos,precision,recall,f1,n_features
reduced_compact10,All selected,0,ChEMBL__Unionable__assays_horizontal_50_ac5_av,529,23,1.0,0.4782608695652174,0.6470588235294118,10
reduced_compact10,All selected,0,OpenData__Semantically-Joinable__miller2_both_50_70_ac4_av,1849,35,0.8823529411764706,0.42857142857142855,0.5769230769230769,10
reduced_compact10,All selected,0,TPC-DI__Joinable__prospect_both_50_50_ec_ev,272,11,1.0,0.5454545454545454,0.7058823529411765,10
reduced_compact10,All selected,0,TPC-DI__View-Unionable__prospect_both_0_30_ac1_ev,196,6,1.0,0.5,0.6666666666666666,10
reduced_compact10,All selected,0,ChEMBL__Joinable__assays_both_50_1_ac2_ev,144,1,0.5,1.0,0.6666666666666666,10
reduced_compact10,All selected,0,ChEMBL__Unionable__assays_horizontal_50_ac5_ev,529,23,1.0,0.4782608695652174,0.6470588235294118,10
reduced_compact10,All selected,0,ChEMBL__Joinable__assays_both_50_1_ac3_ev,144,1,0.0,0.0,0.0,10
reduced_compact10,All selected,0,TPC-DI__View-Unionable__prospect_both_0_30_ac2_ev,196,6,1.0,0.6666666666666666,0.8,10
reduced_compact10,All selected,0,OpenData__Semantically-Joinable__miller2_vertical_1_ac4_av,676,1,0.14285714285714285,1.0,0.25,10
reduced_compact10,All selected,0,TPC-DI__Joinable__prospect_both_50_70_ec_ev,342,15,1.0,0.6666666666666666,0.8,10
reduced_compact10,All selected,0,ChEMBL__View-Unionable__assays_both_0_1_ac2_ev,144,1,1.0,1.0,1.0,10
reduced_compact10,All selected,0,TPC-DI__Joinable__prospect_vertical_1_ac2_ev,132,1,1.0,1.0,1.0,10
reduced_compact10,All selected,0,TPC-DI__View-Unionable__prospect_both_0_30_ec_av,196,6,1.0,0.5,0.6666666666666666,10
reduced_compact10,All selected,0,OpenData__Semantically-Joinable__miller2_vertical_30_ac2_av,1089,15,0.7647058823529411,0.8666666666666667,0.8125,10
reduced_compact10,All selected,0,ChEMBL__Joinable__assays_both_50_30_ec_ev,210,6,1.0,0.8333333333333334,0.9090909090909091,10
reduced_compact10,All selected,0,TPC-DI__View-Unionable__prospect_both_0_50_ac1_av,272,11,0.625,0.45454545454545453,0.5263157894736842,10
reduced_compact10,All selected,0,TPC-DI__Joinable__prospect_vertical_1_ec_ev,132,1,1.0,1.0,1.0,10
reduced_compact10,All selected,0,TPC-DI__View-Unionable__prospect_both_0_50_ac1_ev,272,11,1.0,0.45454545454545453,0.625,10
reduced_compact10,All selected,0,ChEMBL__View-Unionable__assays_both_0_30_ac1_av,210,6,1.0,0.5,0.6666666666666666,10
reduced_compact10,All selected,0,OpenData__Semantically-Joinable__miller2_vertical_50_ac3_av,1444,25,0.9375,0.6,0.7317073170731707,10
reduced_compact10,All selected,0,ChEMBL__View-Unionable__assays_both_0_30_ac2_av,210,6,1.0,0.6666666666666666,0.8,10
reduced_compact10,All selected,0,OpenData__Semantically-Joinable__miller2_vertical_50_ac4_av,1444,25,0.7333333333333333,0.44,0.55,10
reduced_compact10,All selected,0,OpenData__Semantically-Joinable__miller2_vertical_50_ac5_av,1444,25,1.0,0.32,0.48484848484848486,10
reduced_compact10,All selected,0,TPC-DI__Joinable__prospect_vertical_50_ac1_ev,272,11,1.0,0.9090909090909091,0.9523809523809523,10
reduced_compact10,All selected,0,ChEMBL__Joinable__assays_both_50_70_ac3_ev,380,16,1.0,0.75,0.8571428571428571,10
reduced_compact10,All selected,0,ChEMBL__Joinable__assays_both_50_70_ac4_ev,380,16,1.0,0.625,0.7692307692307693,10
reduced_compact10,All selected,0,OpenData__Semantically-Joinable__miller2_vertical_70_ac2_av,1849,35,0.9259259259259259,0.7142857142857143,0.8064516129032258,10
reduced_compact10,All selected,0,ChEMBL__Joinable__assays_both_50_70_ec_ev,380,16,1.0,0.75,0.8571428571428571,10
reduced_compact10,All selected,0,TPC-DI__Joinable__prospect_vertical_50_ac5_ev,272,11,1.0,1.0,1.0,10
reduced_compact10,All selected,0,OpenData__Semantically-Joinable__miller2_vertical_70_ac4_av,1849,35,0.7272727272727273,0.45714285714285713,0.5614035087719298,10
reduced_compact10,All selected,0,TPC-DI__Joinable__prospect_vertical_50_ec_ev,272,11,1.0,1.0,1.0,10
reduced_compact10,All selected,0,TPC-DI__Joinable__prospect_vertical_70_ac1_ev,342,15,1.0,1.0,1.0,10
reduced_compact10,All selected,0,ChEMBL__View-Unionable__assays_both_0_30_ec_av,210,6,1.0,0.8333333333333334,0.9090909090909091,10
reduced_compact10,All selected,0,OpenData__Unionable__miller2_horizontal_0_ac1_ev,2601,51,1.0,0.9215686274509803,0.9591836734693877,10
reduced_compact10,All selected,0,TPC-DI__Joinable__prospect_vertical_70_ac4_ev,342,15,1.0,0.9333333333333333,0.9655172413793104,10
reduced_compact10,All selected,0,TPC-DI__View-Unionable__prospect_both_0_70_ac3_ev,342,15,1.0,0.6,0.75,10
reduced_compact10,All selected,0,ChEMBL__Joinable__assays_vertical_1_ec_ev,144,1,1.0,1.0,1.0,10
reduced_compact10,All selected,0,OpenData__Unionable__miller2_horizontal_0_ac2_av,2601,51,0.8846153846153846,0.9019607843137255,0.8932038834951457,10
reduced_compact10,All selected,0,TPC-DI__View-Unionable__prospect_both_0_70_ac4_ev,342,15,1.0,0.7333333333333333,0.8461538461538461,10
reduced_compact10,All selected,0,ChEMBL__Joinable__assays_vertical_30_ac3_ev,210,6,1.0,1.0,1.0,10
reduced_compact10,All selected,0,ChEMBL__View-Unionable__assays_both_0_50_ac3_av,289,11,1.0,0.7272727272727273,0.8421052631578947,10
reduced_compact10,All selected,0,TPC-DI__View-Unionable__prospect_both_0_70_ac5_ev,342,15,1.0,0.7333333333333333,0.8461538461538461,10
reduced_compact10,All selected,0,ChEMBL__View-Unionable__assays_both_0_50_ac3_ev,289,11,1.0,0.6363636363636364,0.7777777777777778,10
reduced_compact10,All selected,0,ChEMBL__Joinable__assays_vertical_30_ec_ev,210,6,1.0,1.0,1.0,10
reduced_compact10,All selected,0,ChEMBL__View-Unionable__assays_both_0_50_ac4_ev,289,11,1.0,0.45454545454545453,0.625,10
reduced_compact10,All selected,0,ChEMBL__Joinable__assays_vertical_50_ac2_ev,289,11,1.0,0.9090909090909091,0.9523809523809523,10
reduced_compact10,All selected,0,Wikidata__Musicians__Musicians_unionable,400,19,0.9444444444444444,0.8947368421052632,0.918918918918919,10
reduced_compact10,All selected,0,ChEMBL__Joinable__assays_vertical_50_ac4_ev,289,11,1.0,0.7272727272727273,0.8421052631578947,10
reduced_compact10,All selected,0,ChEMBL__View-Unionable__assays_both_0_50_ec_ev,289,11,1.0,0.6363636363636364,0.7777777777777778,10
reduced_compact10,All selected,0,ChEMBL__View-Unionable__assays_both_0_70_ac1_av,380,16,0.9166666666666666,0.6875,0.7857142857142857,10
reduced_compact10,All selected,0,OpenData__Unionable__miller2_horizontal_100_ac1_ev,2601,51,1.0,0.9215686274509803,0.9591836734693877,10
reduced_compact10,All selected,0,ChEMBL__Joinable__assays_vertical_50_ec_ev,289,11,1.0,1.0,1.0,10
reduced_compact10,All selected,0,ChEMBL__View-Unionable__assays_both_0_70_ac2_av,380,16,0.9166666666666666,0.6875,0.7857142857142857,10
reduced_compact10,All selected,0,TPC-DI__Semantically-Joinable__prospect_both_50_50_ac1_av,272,11,1.0,0.6363636363636364,0.7777777777777778,10
reduced_compact10,All selected,0,ChEMBL__Joinable__assays_vertical_70_ac3_ev,380,16,1.0,0.8125,0.896551724137931,10
reduced_compact10,All selected,0,OpenData__Unionable__miller2_horizontal_100_ac3_ev,2601,51,1.0,0.6666666666666666,0.8,10
reduced_compact10,All selected,0,ChEMBL__View-Unionable__assays_both_0_70_ac3_ev,380,16,1.0,0.6875,0.8148148148148148,10
reduced_compact10,All selected,0,OpenData__Unionable__miller2_horizontal_100_ac4_ev,2601,51,0.9534883720930233,0.803921568627451,0.8723404255319149,10
reduced_compact10,All selected,0,TPC-DI__Semantically-Joinable__prospect_both_50_50_ac4_av,272,11,0.75,0.5454545454545454,0.631578947368421,10
reduced_compact10,All selected,0,ChEMBL__Joinable__assays_vertical_70_ec_ev,380,16,1.0,1.0,1.0,10
reduced_compact10,All selected,0,ChEMBL__View-Unionable__assays_both_0_70_ac4_ev,380,16,1.0,0.625,0.7692307692307693,10
reduced_compact10,All selected,0,TPC-DI__Semantically-Joinable__prospect_both_50_50_ac5_av,272,11,1.0,0.45454545454545453,0.625,10
reduced_compact10,All selected,0,ChEMBL__View-Unionable__assays_both_0_70_ac5_av,380,16,0.625,0.3125,0.4166666666666667,10
reduced_compact10,All selected,0,OpenData__Unionable__miller2_horizontal_100_ac5_ev,2601,51,1.0,0.5294117647058824,0.6923076923076923,10
reduced_compact10,All selected,0,ChEMBL__Semantically-Joinable__assays_both_50_1_ac2_av,144,1,1.0,1.0,1.0,10
reduced_compact10,All selected,0,ChEMBL__View-Unionable__assays_both_0_70_ac5_ev,380,16,1.0,0.5625,0.72,10
reduced_compact10,All selected,0,TPC-DI__Semantically-Joinable__prospect_both_50_70_ac1_av,342,15,0.7,0.4666666666666667,0.56,10
reduced_compact10,All selected,0,ChEMBL__View-Unionable__assays_both_0_70_ec_av,380,16,1.0,0.75,0.8571428571428571,10
reduced_compact10,All selected,0,ChEMBL__Semantically-Joinable__assays_both_50_1_ac4_av,144,1,0.3333333333333333,1.0,0.5,10
reduced_compact10,All selected,0,OpenData__Unionable__miller2_horizontal_50_ac1_av,2601,51,1.0,0.9215686274509803,0.9591836734693877,10
reduced_compact10,All selected,0,ChEMBL__Semantically-Joinable__assays_both_50_1_ec_av,144,1,1.0,1.0,1.0,10
reduced_compact10,All selected,0,TPC-DI__Semantically-Joinable__prospect_both_50_70_ac5_av,342,15,0.875,0.4666666666666667,0.6086956521739131,10
reduced_compact10,All selected,0,ChEMBL__Semantically-Joinable__assays_both_50_30_ac1_av,210,6,1.0,0.5,0.6666666666666666,10
reduced_compact10,All selected,0,Magellan__dblp_acm,25,5,1.0,0.8,0.8888888888888888,10
reduced_compact10,All selected,0,ChEMBL__Semantically-Joinable__assays_both_50_30_ac2_av,210,6,1.0,0.6666666666666666,0.8,10
reduced_compact10,All selected,0,Magellan__dblp_scholar,25,5,1.0,0.6,0.75,10
reduced_compact10,All selected,0,OpenData__Unionable__miller2_horizontal_50_ac3_av,2601,51,1.0,0.6666666666666666,0.8,10
reduced_compact10,All selected,0,TPC-DI__Semantically-Joinable__prospect_vertical_1_ac2_av,132,1,1.0,1.0,1.0,10
reduced_compact10,All selected,0,OpenData__Unionable__miller2_horizontal_50_ac4_av,2601,51,0.975609756097561,0.7843137254901961,0.8695652173913043,10
reduced_compact10,All selected,0,TPC-DI__Semantically-Joinable__prospect_vertical_1_ac4_av,132,1,1.0,1.0,1.0,10
reduced_compact10,All selected,0,OpenData__Joinable__miller2_both_50_1_ac1_ev,676,1,1.0,1.0,1.0,10
reduced_compact10,All selected,0,OpenData__Joinable__miller2_both_50_1_ac2_ev,676,1,1.0,1.0,1.0,10
reduced_compact10,All selected,0,OpenData__Unionable__miller2_horizontal_50_ac5_ev,2601,51,1.0,0.5294117647058824,0.6923076923076923,10
reduced_compact10,All selected,0,TPC-DI__Semantically-Joinable__prospect_vertical_1_ec_av,132,1,1.0,1.0,1.0,10
reduced_compact10,All selected,0,ChEMBL__Semantically-Joinable__assays_both_50_50_ac2_av,289,11,1.0,0.5454545454545454,0.7058823529411765,10
reduced_compact10,All selected,0,OpenData__Joinable__miller2_both_50_1_ac3_ev,676,1,1.0,1.0,1.0,10
reduced_compact10,All selected,0,OpenData__Unionable__miller2_horizontal_50_ec_ev,2601,51,1.0,0.9803921568627451,0.9900990099009901,10
reduced_compact10,All selected,0,ChEMBL__Semantically-Joinable__assays_both_50_50_ac5_av,289,11,1.0,0.5454545454545454,0.7058823529411765,10
reduced_compact10,All selected,0,ChEMBL__Semantically-Joinable__assays_both_50_50_ec_av,289,11,1.0,0.9090909090909091,0.9523809523809523,10
reduced_compact10,All selected,0,TPC-DI__Semantically-Joinable__prospect_vertical_30_ac5_av,196,6,1.0,0.6666666666666666,0.8,10
reduced_compact10,All selected,0,OpenData__View -Unionable__miller2_both_0_1_ac2_ev,676,1,1.0,1.0,1.0,10
reduced_compact10,All selected,0,OpenData__View -Unionable__miller2_both_0_1_ac3_av,676,1,1.0,1.0,1.0,10
reduced_compact10,All selected,0,TPC-DI__Semantically-Joinable__prospect_vertical_50_ac1_av,272,11,1.0,0.6363636363636364,0.7777777777777778,10
reduced_compact10,All selected,0,TPC-DI__Semantically-Joinable__prospect_vertical_50_ac2_av,272,11,0.7272727272727273,0.7272727272727273,0.7272727272727273,10
reduced_compact10,All selected,0,OpenData__Joinable__miller2_both_50_30_ec_ev,1089,15,1.0,0.9333333333333333,0.9655172413793104,10
reduced_compact10,All selected,0,TPC-DI__Semantically-Joinable__prospect_vertical_50_ac4_av,272,11,1.0,0.36363636363636365,0.5333333333333333,10
reduced_compact10,All selected,0,TPC-DI__Semantically-Joinable__prospect_vertical_50_ec_av,272,11,1.0,0.7272727272727273,0.8421052631578947,10
reduced_compact10,All selected,0,TPC-DI__Semantically-Joinable__prospect_vertical_70_ac2_av,342,15,0.8181818181818182,0.6,0.6923076923076923,10
reduced_compact10,All selected,0,OpenData__Joinable__miller2_both_50_50_ac5_ev,1444,25,1.0,0.44,0.6111111111111112,10
reduced_compact10,All selected,0,ChEMBL__Semantically-Joinable__assays_vertical_1_ac5_av,144,1,1.0,1.0,1.0,10
reduced_compact10,All selected,0,OpenData__Joinable__miller2_both_50_70_ac1_ev,1849,35,1.0,0.9714285714285714,0.9855072463768116,10
reduced_compact10,All selected,0,OpenData__View -Unionable__miller2_both_0_30_ac3_av,1089,15,1.0,0.6666666666666666,0.8,10
reduced_compact10,All selected,0,TPC-DI__Unionable__prospect_horizontal_0_ac1_av,484,22,1.0,0.5909090909090909,0.7428571428571429,10
reduced_compact10,All selected,0,OpenData__Joinable__miller2_both_50_70_ac5_ev,1849,35,1.0,0.5714285714285714,0.7272727272727273,10
reduced_compact10,All selected,0,OpenData__View -Unionable__miller2_both_0_30_ac4_av,1089,15,0.8571428571428571,0.4,0.5454545454545454,10
reduced_compact10,All selected,0,ChEMBL__Semantically-Joinable__assays_vertical_30_ac5_av,210,6,1.0,0.6666666666666666,0.8,10
reduced_compact10,All selected,0,TPC-DI__Unionable__prospect_horizontal_0_ac2_ev,484,22,1.0,0.6818181818181818,0.8108108108108109,10
reduced_compact10,All selected,0,ChEMBL__Semantically-Joinable__assays_vertical_30_ec_av,210,6,1.0,0.6666666666666666,0.8,10
reduced_compact10,All selected,0,OpenData__View -Unionable__miller2_both_0_30_ac5_av,1089,15,1.0,0.3333333333333333,0.5,10
reduced_compact10,All selected,0,TPC-DI__Unionable__prospect_horizontal_0_ac3_av,484,22,1.0,0.6363636363636364,0.7777777777777778,10
reduced_compact10,All selected,0,TPC-DI__Unionable__prospect_horizontal_0_ac4_av,484,22,1.0,0.6818181818181818,0.8108108108108109,10
reduced_compact10,All selected,0,OpenData__Joinable__miller2_vertical_1_ac4_ev,676,1,0.2,1.0,0.3333333333333333,10
reduced_compact10,All selected,0,ChEMBL__Semantically-Joinable__assays_vertical_50_ac4_av,289,11,1.0,0.6363636363636364,0.7777777777777778,10
reduced_compact10,All selected,0,ChEMBL__Semantically-Joinable__assays_vertical_50_ac5_av,289,11,1.0,0.6363636363636364,0.7777777777777778,10
reduced_compact10,All selected,0,OpenData__View -Unionable__miller2_both_0_50_ac2_av,1444,25,1.0,0.76,0.8636363636363636,10
reduced_compact10,All selected,0,OpenData__Joinable__miller2_vertical_30_ac2_ev,1089,15,0.8823529411764706,1.0,0.9375,10
reduced_compact10,All selected,0,OpenData__View -Unionable__miller2_both_0_50_ac2_ev,1444,25,0.9615384615384616,1.0,0.9803921568627451,10
reduced_compact10,All selected,0,TPC-DI__Unionable__prospect_horizontal_0_ec_ev,484,22,1.0,0.6818181818181818,0.8108108108108109,10
reduced_compact10,All selected,0,ChEMBL__Semantically-Joinable__assays_vertical_70_ac2_av,380,16,1.0,0.5625,0.72,10
reduced_compact10,All selected,0,OpenData__Joinable__miller2_vertical_30_ac3_ev,1089,15,1.0,1.0,1.0,10
reduced_compact10,All selected,0,OpenData__View -Unionable__miller2_both_0_50_ac3_ev,1444,25,1.0,0.72,0.8372093023255814,10
reduced_compact10,All selected,0,TPC-DI__Unionable__prospect_horizontal_100_ac2_ev,484,22,1.0,0.7272727272727273,0.8421052631578947,10
reduced_compact10,All selected,0,OpenData__Joinable__miller2_vertical_50_ac1_ev,1444,25,1.0,1.0,1.0,10
reduced_compact10,All selected,0,OpenData__View -Unionable__miller2_both_0_50_ac5_av,1444,25,1.0,0.24,0.3870967741935484,10
reduced_compact10,All selected,0,ChEMBL__Unionable__assays_horizontal_0_ac1_av,529,23,1.0,0.5217391304347826,0.6857142857142857,10
reduced_compact10,All selected,0,OpenData__View -Unionable__miller2_both_0_50_ac5_ev,1444,25,1.0,0.52,0.6842105263157895,10
reduced_compact10,All selected,0,OpenData__Joinable__miller2_vertical_50_ac3_ev,1444,25,1.0,0.72,0.8372093023255814,10
reduced_compact10,All selected,0,OpenData__View -Unionable__miller2_both_0_50_ec_av,1444,25,1.0,0.92,0.9583333333333334,10
reduced_compact10,All selected,0,ChEMBL__Unionable__assays_horizontal_0_ac2_av,529,23,1.0,0.6956521739130435,0.8205128205128205,10
reduced_compact10,All selected,0,ChEMBL__Unionable__assays_horizontal_0_ac2_ev,529,23,1.0,0.782608695652174,0.8780487804878049,10
reduced_compact10,All selected,0,TPC-DI__Unionable__prospect_horizontal_100_ac5_av,484,22,1.0,0.6363636363636364,0.7777777777777778,10
reduced_compact10,All selected,0,ChEMBL__Unionable__assays_horizontal_0_ac3_av,529,23,1.0,0.5652173913043478,0.7222222222222222,10
reduced_compact10,All selected,0,OpenData__Joinable__miller2_vertical_50_ec_ev,1444,25,1.0,1.0,1.0,10
reduced_compact10,All selected,0,OpenData__Joinable__miller2_vertical_70_ac2_ev,1849,35,0.8974358974358975,1.0,0.9459459459459459,10
reduced_compact10,All selected,0,ChEMBL__Unionable__assays_horizontal_0_ac4_ev,529,23,1.0,0.6086956521739131,0.7567567567567568,10
reduced_compact10,All selected,0,OpenData__Joinable__miller2_vertical_70_ac4_ev,1849,35,0.9393939393939394,0.8857142857142857,0.9117647058823529,10
reduced_compact10,All selected,0,OpenData__View -Unionable__miller2_both_0_70_ac3_ev,1849,35,1.0,0.6571428571428571,0.7931034482758621,10
reduced_compact10,All selected,0,TPC-DI__Unionable__prospect_horizontal_50_ac1_ev,484,22,1.0,0.5909090909090909,0.7428571428571429,10
reduced_compact10,All selected,0,OpenData__View -Unionable__miller2_both_0_70_ac4_av,1849,35,0.8666666666666667,0.37142857142857144,0.52,10
reduced_compact10,All selected,0,ChEMBL__Unionable__assays_horizontal_0_ec_ev,529,23,1.0,0.782608695652174,0.8780487804878049,10
reduced_compact10,All selected,0,OpenData__Semantically-Joinable__miller2_both_50_1_ac1_av,676,1,1.0,1.0,1.0,10
reduced_compact10,All selected,0,TPC-DI__Unionable__prospect_horizontal_50_ac3_ev,484,22,1.0,0.6363636363636364,0.7777777777777778,10
reduced_compact10,All selected,0,OpenData__Semantically-Joinable__miller2_both_50_1_ac4_av,676,1,1.0,1.0,1.0,10
reduced_compact10,All selected,0,OpenData__View -Unionable__miller2_both_0_70_ec_ev,1849,35,1.0,1.0,1.0,10
reduced_compact10,All selected,0,TPC-DI__Unionable__prospect_horizontal_50_ac4_ev,484,22,1.0,0.7272727272727273,0.8421052631578947,10
reduced_compact10,All selected,0,OpenData__Semantically-Joinable__miller2_both_50_1_ac5_av,676,1,1.0,1.0,1.0,10
reduced_compact10,All selected,0,TPC-DI__Unionable__prospect_horizontal_50_ac5_av,484,22,1.0,0.6363636363636364,0.7777777777777778,10
reduced_compact10,All selected,0,OpenData__Semantically-Joinable__miller2_both_50_1_ec_av,676,1,1.0,1.0,1.0,10
reduced_compact10,All selected,0,TPC-DI__Joinable__prospect_both_50_1_ac2_ev,132,1,1.0,1.0,1.0,10
reduced_compact10,All selected,0,ChEMBL__Unionable__assays_horizontal_100_ac4_av,529,23,1.0,0.6086956521739131,0.7567567567567568,10
reduced_compact10,All selected,0,TPC-DI__Joinable__prospect_both_50_1_ac4_ev,132,1,0.0,0.0,0.0,10
reduced_compact10,All selected,0,TPC-DI__View-Unionable__prospect_both_0_1_ac1_ev,132,1,1.0,1.0,1.0,10
reduced_compact10,All selected,0,OpenData__Semantically-Joinable__miller2_both_50_30_ec_av,1089,15,1.0,1.0,1.0,10
reduced_compact10,All selected,0,TPC-DI__Joinable__prospect_both_50_30_ac2_ev,196,6,1.0,0.5,0.6666666666666666,10
reduced_compact10,All selected,0,ChEMBL__Unionable__assays_horizontal_100_ec_ev,529,23,1.0,0.782608695652174,0.8780487804878049,10
reduced_compact10,All selected,0,OpenData__Semantically-Joinable__miller2_both_50_50_ac1_av,1444,25,1.0,0.6,0.75,10
reduced_compact10,All selected,0,TPC-DI__Joinable__prospect_both_50_30_ac3_ev,196,6,1.0,0.3333333333333333,0.5,10
reduced_compact10,All selected,0,TPC-DI__View-Unionable__prospect_both_0_1_ac3_av,132,1,1.0,1.0,1.0,10
reduced_compact10,All selected,0,OpenData__Semantically-Joinable__miller2_both_50_50_ac2_av,1444,25,0.75,0.6,0.6666666666666666,10
reduced_compact10,All selected,0,TPC-DI__Joinable__prospect_both_50_30_ac5_ev,196,6,1.0,0.6666666666666666,0.8,10
reduced_compact10,All selected,0,TPC-DI__Joinable__prospect_both_50_30_ec_ev,196,6,1.0,0.6666666666666666,0.8,10
reduced_compact10,All selected,0,TPC-DI__View-Unionable__prospect_both_0_1_ac4_ev,132,1,0.0,0.0,0.0,10
reduced_compact10,All selected,0,TPC-DI__View-Unionable__prospect_both_0_1_ac5_av,132,1,1.0,1.0,1.0,10
reduced_compact10,All selected,0,ChEMBL__Unionable__assays_horizontal_50_ac3_av,529,23,1.0,0.6086956521739131,0.7567567567567568,10
reduced_compact10,All selected,0,TPC-DI__View-Unionable__prospect_both_0_1_ec_ev,132,1,1.0,1.0,1.0,10
reduced_compact10,All selected,0,TPC-DI__View-Unionable__prospect_both_0_30_ac1_av,196,6,1.0,0.5,0.6666666666666666,10
reduced_compact10,All selected,1,ChEMBL__Joinable__assays_both_50_1_ac1_ev,144,1,1.0,1.0,1.0,10
reduced_compact10,All selected,1,OpenData__Semantically-Joinable__miller2_both_50_70_ac4_av,1849,35,0.8947368421052632,0.4857142857142857,0.6296296296296297,10
