config,feature_set,fold_id,pair_id,n_rows,n_pos,precision,recall,f1,n_features
reduced_distance_only,Distance-based,0,ChEMBL__Unionable__assays_horizontal_50_ac5_av,529,23,1.0,0.34782608695652173,0.5161290322580645,2
reduced_distance_only,Distance-based,0,OpenData__Semantically-Joinable__miller2_both_50_70_ac4_av,1849,35,0.1388888888888889,0.14285714285714285,0.14084507042253522,2
reduced_distance_only,Distance-based,0,TPC-DI__Joinable__prospect_both_50_50_ec_ev,272,11,1.0,0.7272727272727273,0.8421052631578947,2
reduced_distance_only,Distance-based,0,TPC-DI__View-Unionable__prospect_both_0_30_ac1_ev,196,6,1.0,0.6666666666666666,0.8,2
reduced_distance_only,Distance-based,0,ChEMBL__Joinable__assays_both_50_1_ac2_ev,144,1,0.0,0.0,0.0,2
reduced_distance_only,Distance-based,0,ChEMBL__Unionable__assays_horizontal_50_ac5_ev,529,23,1.0,0.34782608695652173,0.5161290322580645,2
reduced_distance_only,Distance-based,0,ChEMBL__Joinable__assays_both_50_1_ac3_ev,144,1,0.0,0.0,0.0,2
reduced_distance_only,Distance-based,0,TPC-DI__View-Unionable__prospect_both_0_30_ac2_ev,196,6,0.5,0.3333333333333333,0.4,2
reduced_distance_only,Distance-based,0,OpenData__Semantically-Joinable__miller2_vertical_1_ac4_av,676,1,0.0,0.0,0.0,2
reduced_distance_only,Distance-based,0,TPC-DI__Joinable__prospect_both_50_70_ec_ev,342,15,1.0,0.8,0.8888888888888888,2
reduced_distance_only,Distance-based,0,ChEMBL__View-Unionable__assays_both_0_1_ac2_ev,144,1,0.0,0.0,0.0,2
reduced_distance_only,Distance-based,0,TPC-DI__Joinable__prospect_vertical_1_ac2_ev,132,1,0.3333333333333333,1.0,0.5,2
reduced_distance_only,Distance-based,0,TPC-DI__View-Unionable__prospect_both_0_30_ec_av,196,6,1.0,0.8333333333333334,0.9090909090909091,2
reduced_distance_only,Distance-based,0,OpenData__Semantically-Joinable__miller2_vertical_30_ac2_av,1089,15,0.23076923076923078,0.2,0.21428571428571427,2
reduced_distance_only,Distance-based,0,ChEMBL__Joinable__assays_both_50_30_ec_ev,210,6,1.0,1.0,1.0,2
reduced_distance_only,Distance-based,0,TPC-DI__View-Unionable__prospect_both_0_50_ac1_av,272,11,0.5714285714285714,0.36363636363636365,0.4444444444444444,2
reduced_distance_only,Distance-based,0,TPC-DI__Joinable__prospect_vertical_1_ec_ev,132,1,1.0,1.0,1.0,2
reduced_distance_only,Distance-based,0,TPC-DI__View-Unionable__prospect_both_0_50_ac1_ev,272,11,1.0,0.5454545454545454,0.7058823529411765,2
reduced_distance_only,Distance-based,0,ChEMBL__View-Unionable__assays_both_0_30_ac1_av,210,6,1.0,0.5,0.6666666666666666,2
reduced_distance_only,Distance-based,0,OpenData__Semantically-Joinable__miller2_vertical_50_ac3_av,1444,25,0.38461538461538464,0.2,0.2631578947368421,2
reduced_distance_only,Distance-based,0,ChEMBL__View-Unionable__assays_both_0_30_ac2_av,210,6,1.0,0.16666666666666666,0.2857142857142857,2
reduced_distance_only,Distance-based,0,OpenData__Semantically-Joinable__miller2_vertical_50_ac4_av,1444,25,0.15384615384615385,0.16,0.1568627450980392,2
reduced_distance_only,Distance-based,0,OpenData__Semantically-Joinable__miller2_vertical_50_ac5_av,1444,25,0.10714285714285714,0.12,0.11320754716981132,2
reduced_distance_only,Distance-based,0,TPC-DI__Joinable__prospect_vertical_50_ac1_ev,272,11,1.0,0.8181818181818182,0.9,2
reduced_distance_only,Distance-based,0,ChEMBL__Joinable__assays_both_50_70_ac3_ev,380,16,1.0,0.25,0.4,2
reduced_distance_only,Distance-based,0,ChEMBL__Joinable__assays_both_50_70_ac4_ev,380,16,1.0,0.25,0.4,2
reduced_distance_only,Distance-based,0,OpenData__Semantically-Joinable__miller2_vertical_70_ac2_av,1849,35,0.45,0.2571428571428571,0.32727272727272727,2
reduced_distance_only,Distance-based,0,ChEMBL__Joinable__assays_both_50_70_ec_ev,380,16,1.0,0.9375,0.967741935483871,2
reduced_distance_only,Distance-based,0,TPC-DI__Joinable__prospect_vertical_50_ac5_ev,272,11,1.0,0.36363636363636365,0.5333333333333333,2
