config,feature_set,fold_id,pair_id,n_rows,n_pos,precision,recall,f1,n_features
reduced_distance_topological,Distance-based + Topological,0,ChEMBL__Unionable__assays_horizontal_50_ac5_av,529,23,1.0,0.34782608695652173,0.5161290322580645,3
reduced_distance_topological,Distance-based + Topological,0,OpenData__Semantically-Joinable__miller2_both_50_70_ac4_av,1849,35,0.21621621621621623,0.22857142857142856,0.2222222222222222,3
reduced_distance_topological,Distance-based + Topological,0,TPC-DI__Joinable__prospect_both_50_50_ec_ev,272,11,1.0,0.6363636363636364,0.7777777777777778,3
reduced_distance_topological,Distance-based + Topological,0,TPC-DI__View-Unionable__prospect_both_0_30_ac1_ev,196,6,1.0,0.6666666666666666,0.8,3
reduced_distance_topological,Distance-based + Topological,0,ChEMBL__Joinable__assays_both_50_1_ac2_ev,144,1,1.0,1.0,1.0,3
reduced_distance_topological,Distance-based + Topological,0,ChEMBL__Unionable__assays_horizontal_50_ac5_ev,529,23,1.0,0.34782608695652173,0.5161290322580645,3
reduced_distance_topological,Distance-based + Topological,0,ChEMBL__Joinable__assays_both_50_1_ac3_ev,144,1,0.0,0.0,0.0,3
reduced_distance_topological,Distance-based + Topological,0,TPC-DI__View-Unionable__prospect_both_0_30_ac2_ev,196,6,0.6666666666666666,0.3333333333333333,0.4444444444444444,3
reduced_distance_topological,Distance-based + Topological,0,OpenData__Semantically-Joinable__miller2_vertical_1_ac4_av,676,1,0.0,0.0,0.0,3
reduced_distance_topological,Distance-based + Topological,0,TPC-DI__Joinable__prospect_both_50_70_ec_ev,342,15,1.0,0.6666666666666666,0.8,3
reduced_distance_topological,Distance-based + Topological,0,ChEMBL__View-Unionable__assays_both_0_1_ac2_ev,144,1,0.3333333333333333,1.0,0.5,3
reduced_distance_topological,Distance-based + Topological,0,TPC-DI__Joinable__prospect_vertical_1_ac2_ev,132,1,1.0,1.0,1.0,3
reduced_distance_topological,Distance-based + Topological,0,TPC-DI__View-Unionable__prospect_both_0_30_ec_av,196,6,1.0,0.8333333333333334,0.9090909090909091,3
reduced_distance_topological,Distance-based + Topological,0,OpenData__Semantically-Joinable__miller2_vertical_30_ac2_av,1089,15,0.36363636363636365,0.26666666666666666,0.3076923076923077,3
reduced_distance_topological,Distance-based + Topological,0,ChEMBL__Joinable__assays_both_50_30_ec_ev,210,6,1.0,1.0,1.0,3
reduced_distance_topological,Distance-based + Topological,0,TPC-DI__View-Unionable__prospect_both_0_50_ac1_av,272,11,0.6,0.2727272727272727,0.375,3
reduced_distance_topological,Distance-based + Topological,0,TPC-DI__Joinable__prospect_vertical_1_ec_ev,132,1,1.0,1.0,1.0,3
reduced_distance_topological,Distance-based + Topological,0,TPC-DI__View-Unionable__prospect_both_0_50_ac1_ev,272,11,1.0,0.7272727272727273,0.8421052631578947,3
reduced_distance_topological,Distance-based + Topological,0,ChEMBL__View-Unionable__assays_both_0_30_ac1_av,210,6,1.0,0.5,0.6666666666666666,3
reduced_distance_topological,Distance-based + Topological,0,OpenData__Semantically-Joinable__miller2_vertical_50_ac3_av,1444,25,0.4,0.24,0.3,3
reduced_distance_topological,Distance-based + Topological,0,ChEMBL__View-Unionable__assays_both_0_30_ac2_av,210,6,1.0,0.16666666666666666,0.2857142857142857,3
reduced_distance_topological,Distance-based + Topological,0,OpenData__Semantically-Joinable__miller2_vertical_50_ac4_av,1444,25,0.2,0.16,0.17777777777777778,3
reduced_distance_topological,Distance-based + Topological,0,OpenData__Semantically-Joinable__miller2_vertical_50_ac5_av,1444,25,0.16666666666666666,0.24,0.19672131147540983,3
reduced_distance_topological,Distance-based + Topological,0,TPC-DI__Joinable__prospect_vertical_50_ac1_ev,272,11,1.0,0.7272727272727273,0.8421052631578947,3
reduced_distance_topological,Distance-based + Topological,0,ChEMBL__Joinable__assays_both_50_70_ac3_ev,380,16,1.0,0.25,0.4,3
