config,feature_set,fold_id,pair_id,n_rows,n_pos,precision,recall,f1,n_features
reduced_syn_topological,Syntactic + Topological,0,ChEMBL__Unionable__assays_horizontal_50_ac5_av,529,23,1.0,0.391304347826087,0.5625,8
reduced_syn_topological,Syntactic + Topological,0,OpenData__Semantically-Joinable__miller2_both_50_70_ac4_av,1849,35,1.0,0.42857142857142855,0.6,8
reduced_syn_topological,Syntactic + Topological,0,TPC-DI__Joinable__prospect_both_50_50_ec_ev,272,11,1.0,0.5454545454545454,0.7058823529411765,8
reduced_syn_topological,Syntactic + Topological,0,TPC-DI__View-Unionable__prospect_both_0_30_ac1_ev,196,6,1.0,0.5,0.6666666666666666,8
reduced_syn_topological,Syntactic + Topological,0,ChEMBL__Joinable__assays_both_50_1_ac2_ev,144,1,0.5,1.0,0.6666666666666666,8
reduced_syn_topological,Syntactic + Topological,0,ChEMBL__Unionable__assays_horizontal_50_ac5_ev,529,23,1.0,0.391304347826087,0.5625,8
reduced_syn_topological,Syntactic + Topological,0,ChEMBL__Joinable__assays_both_50_1_ac3_ev,144,1,0.0,0.0,0.0,8
reduced_syn_topological,Syntactic + Topological,0,TPC-DI__View-Unionable__prospect_both_0_30_ac2_ev,196,6,1.0,0.6666666666666666,0.8,8
reduced_syn_topological,Syntactic + Topological,0,OpenData__Semantically-Joinable__miller2_vertical_1_ac4_av,676,1,0.16666666666666666,1.0,0.2857142857142857,8
reduced_syn_topological,Syntactic + Topological,0,TPC-DI__Joinable__prospect_both_50_70_ec_ev,342,15,1.0,0.5333333333333333,0.6956521739130435,8
reduced_syn_topological,Syntactic + Topological,0,ChEMBL__View-Unionable__assays_both_0_1_ac2_ev,144,1,1.0,1.0,1.0,8
reduced_syn_topological,Syntactic + Topological,0,TPC-DI__Joinable__prospect_vertical_1_ac2_ev,132,1,1.0,1.0,1.0,8
reduced_syn_topological,Syntactic + Topological,0,TPC-DI__View-Unionable__prospect_both_0_30_ec_av,196,6,1.0,0.5,0.6666666666666666,8
reduced_syn_topological,Syntactic + Topological,0,OpenData__Semantically-Joinable__miller2_vertical_30_ac2_av,1089,15,0.9230769230769231,0.8,0.8571428571428571,8
reduced_syn_topological,Syntactic + Topological,0,ChEMBL__Joinable__assays_both_50_30_ec_ev,210,6,1.0,0.5,0.6666666666666666,8
reduced_syn_topological,Syntactic + Topological,0,TPC-DI__View-Unionable__prospect_both_0_50_ac1_av,272,11,0.6666666666666666,0.36363636363636365,0.47058823529411764,8
reduced_syn_topological,Syntactic + Topological,0,TPC-DI__Joinable__prospect_vertical_1_ec_ev,132,1,1.0,1.0,1.0,8
reduced_syn_topological,Syntactic + Topological,0,TPC-DI__View-Unionable__prospect_both_0_50_ac1_ev,272,11,1.0,0.45454545454545453,0.625,8
reduced_syn_topological,Syntactic + Topological,0,ChEMBL__View-Unionable__assays_both_0_30_ac1_av,210,6,1.0,0.5,0.6666666666666666,8
reduced_syn_topological,Syntactic + Topological,0,OpenData__Semantically-Joinable__miller2_vertical_50_ac3_av,1444,25,1.0,0.6,0.75,8
reduced_syn_topological,Syntactic + Topological,0,ChEMBL__View-Unionable__assays_both_0_30_ac2_av,210,6,1.0,0.8333333333333334,0.9090909090909091,8
reduced_syn_topological,Syntactic + Topological,0,OpenData__Semantically-Joinable__miller2_vertical_50_ac4_av,1444,25,1.0,0.44,0.6111111111111112,8
reduced_syn_topological,Syntactic + Topological,0,OpenData__Semantically-Joinable__miller2_vertical_50_ac5_av,1444,25,1.0,0.28,0.4375,8
reduced_syn_topological,Syntactic + Topological,0,TPC-DI__Joinable__prospect_vertical_50_ac1_ev,272,11,1.0,0.9090909090909091,0.9523809523809523,8
reduced_syn_topological,Syntactic + Topological,0,ChEMBL__Joinable__assays_both_50_70_ac3_ev,380,16,1.0,0.5625,0.72,8
reduced_syn_topological,Syntactic + Topological,0,ChEMBL__Joinable__assays_both_50_70_ac4_ev,380,16,1.0,0.5625,0.72,8
reduced_syn_topological,Syntactic + Topological,0,OpenData__Semantically-Joinable__miller2_vertical_70_ac2_av,1849,35,0.9166666666666666,0.6285714285714286,0.7457627118644068,8
reduced_syn_topological,Syntactic + Topological,0,ChEMBL__Joinable__assays_both_50_70_ec_ev,380,16,1.0,0.75,0.8571428571428571,8
reduced_syn_topological,Syntactic + Topological,0,TPC-DI__Joinable__prospect_vertical_50_ac5_ev,272,11,1.0,0.9090909090909091,0.9523809523809523,8
reduced_syn_topological,Syntactic + Topological,0,OpenData__Semantically-Joinable__miller2_vertical_70_ac4_av,1849,35,0.7894736842105263,0.42857142857142855,0.5555555555555556,8
reduced_syn_topological,Syntactic + Topological,0,TPC-DI__Joinable__prospect_vertical_50_ec_ev,272,11,1.0,1.0,1.0,8
reduced_syn_topological,Syntactic + Topological,0,TPC-DI__Joinable__prospect_vertical_70_ac1_ev,342,15,1.0,1.0,1.0,8
reduced_syn_topological,Syntactic + Topological,0,ChEMBL__View-Unionable__assays_both_0_30_ec_av,210,6,1.0,0.8333333333333334,0.9090909090909091,8
reduced_syn_topological,Syntactic + Topological,0,OpenData__Unionable__miller2_horizontal_0_ac1_ev,2601,51,1.0,0.8235294117647058,0.9032258064516129,8
reduced_syn_topological,Syntactic + Topological,0,TPC-DI__Joinable__prospect_vertical_70_ac4_ev,342,15,1.0,0.8666666666666667,0.9285714285714286,8
reduced_syn_topological,Syntactic + Topological,0,TPC-DI__View-Unionable__prospect_both_0_70_ac3_ev,342,15,1.0,0.5333333333333333,0.6956521739130435,8
reduced_syn_topological,Syntactic + Topological,0,ChEMBL__Joinable__assays_vertical_1_ec_ev,144,1,1.0,1.0,1.0,8
reduced_syn_topological,Syntactic + Topological,0,OpenData__Unionable__miller2_horizontal_0_ac2_av,2601,51,0.9166666666666666,0.8627450980392157,0.8888888888888888,8
